,datetime,close,open,high,low,KL,% change
0,2021-04-29,25500.0,25600.0,26500.0,25300.0,354200.0,-0.39
1,2021-04-28,25600.0,25600.0,25900.0,25200.0,371780.0,-1.16
2,2021-04-27,25900.0,25200.0,25900.0,24500.0,565260.0,3.6
3,2021-04-26,25000.0,26700.0,26800.0,25000.0,572730.0,-6.02
4,2021-04-23,26600.0,25600.0,26600.0,24900.0,899800.0,3.91
5,2021-04-22,25600.0,27000.0,27800.0,24600.0,1280000.0,-6.23
6,2021-04-20,27300.0,28000.0,28500.0,27300.0,854050.0,-2.5
7,2021-04-19,28000.0,28200.0,28300.0,26600.0,917150.0,-0.71
8,2021-04-16,28200.0,31000.0,31400.0,27700.0,2490000.0,-7.54
9,2021-04-12,30500.0,30800.0,31000.0,30100.0,1839999.9999999998,1.33
10,2021-04-09,30100.0,29450.0,30400.0,29300.0,2130000.0,2.73
11,2021-04-08,29300.0,28800.0,29500.0,28800.0,1490000.0,1.74
12,2021-04-07,28800.0,28600.0,28800.0,28200.0,381800.0,0.0
13,2021-04-06,28800.0,28100.0,28800.0,27850.0,849200.0,1.95
14,2021-04-05,28250.0,29000.0,29400.0,28200.0,735800.0,-1.74
15,2021-04-02,28750.0,29500.0,29500.0,28650.0,708800.0,0.0
16,2021-04-01,28750.0,28400.0,29000.0,28300.0,882800.0,1.5899999999999999
17,2021-03-31,28300.0,28000.0,28950.0,27800.0,889500.0,1.07
18,2021-03-30,28000.0,28000.0,28500.0,27800.0,634700.0,0.0
19,2021-03-29,28000.0,27500.0,28000.0,27200.0,894700.0,1.8199999999999998
20,2021-03-26,27500.0,27800.0,28000.0,26000.0,840000.0,-1.26
21,2021-03-25,27850.0,27600.0,28400.0,27500.0,823400.0,0.18
22,2021-03-24,27800.0,28000.0,28750.0,27000.0,1250000.0,-3.3
23,2021-03-23,28750.0,29400.0,29600.0,28500.0,1600000.0,-3.36
24,2021-03-22,29750.0,30500.0,30500.0,29300.0,1250000.0,-1.49
25,2021-03-19,30200.0,29900.0,30900.0,29600.0,1569999.9999999998,1.0
26,2021-03-18,29900.0,28400.0,29900.0,28100.0,3730000.0,6.98
27,2021-03-17,27950.0,27600.0,28100.0,27500.0,966100.0,1.6400000000000001
28,2021-03-16,27500.0,27550.0,27700.0,26800.0,800200.0,-0.18
29,2021-03-15,27550.0,27600.0,28100.0,27000.0,655700.0,0.18
30,2021-03-12,27500.0,28100.0,28200.0,27400.0,1030000.0,-2.31
31,2021-03-11,28150.0,28400.0,28800.0,27950.0,1130000.0,0.9
32,2021-03-10,27900.0,27500.0,28200.0,27500.0,1280000.0,1.8199999999999998
33,2021-03-09,27400.0,26350.0,27800.0,26000.0,1320000.0,3.98
