,datetime,close,open,high,low,KL,% change
0,2021-04-29,23900.0,24250.0,24600.0,23850.0,38890000.0,-1.24
1,2021-04-28,24200.0,23100.0,24350.0,22900.0,71130000.0,4.76
2,2021-04-27,23100.0,22550.0,23250.0,22300.0,47550000.0,2.44
3,2021-04-26,22550.0,22900.0,23200.0,22450.0,41630000.0,0.45
4,2021-04-23,22450.0,21300.0,22450.0,20900.0,45230000.0,6.9
5,2021-04-22,21000.0,22500.0,22600.0,21000.0,35450000.0,-6.67
6,2021-04-20,22500.0,23000.0,23150.0,22300.0,29740000.0,-1.75
7,2021-04-19,22900.0,22300.0,22900.0,22000.0,29030000.0,3.62
8,2021-04-16,22100.0,22200.0,22800.0,21800.0,41490000.0,-1.12
9,2021-04-15,22350.0,23000.0,23000.0,22200.0,36950000.0,-2.4
10,2021-04-14,22900.0,22500.0,22950.0,22200.0,35110000.0,0.88
11,2021-04-13,22700.0,23450.0,23550.0,22600.0,46630000.0,-3.2
12,2021-04-12,23450.0,23000.0,23850.0,22750.0,49310000.0,3.3
13,2021-04-09,22700.0,22200.0,22900.0,22200.0,25320000.0,2.25
14,2021-04-08,22200.0,22500.0,22600.0,22000.0,26670000.0,-0.45
15,2021-04-07,22300.0,22300.0,22600.0,22100.0,51630000.0,-1.98
16,2021-04-06,22750.0,22600.0,23200.0,22600.0,42370000.0,-1.73
17,2021-04-05,23150.0,23000.0,23300.0,22600.0,46160000.0,2.43
18,2021-04-02,22600.0,21900.0,22950.0,21800.0,56040000.0,4.63
19,2021-04-01,21600.0,21400.0,21650.0,21100.0,33200000.000000004,0.7
20,2021-03-31,21450.0,21450.0,21900.0,21250.0,56670000.0,4.63
21,2021-03-30,20500.0,19250.0,20500.0,19000.0,99980000.0,6.77
22,2021-03-29,19200.0,19050.0,19250.0,18900.0,37000000.0,1.32
23,2021-03-26,18950.0,18750.0,19100.0,18300.0,23370000.0,1.07
24,2021-03-25,18750.0,18600.0,19050.0,18450.0,28720000.0,1.9
25,2021-03-24,18400.0,18550.0,18850.0,18300.0,22970000.0,-2.13
26,2021-03-23,18800.0,19200.0,19200.0,18750.0,25300000.0,-2.08
27,2021-03-22,19200.0,19700.0,19700.0,19150.0,32820000.0,-2.04
28,2021-03-19,19600.0,19600.0,19900.0,19550.0,24330000.0,-0.51
29,2021-03-18,19700.0,19850.0,19950.0,19600.0,19880000.0,0.51
30,2021-03-17,19600.0,19000.0,19750.0,19000.0,38320000.0,3.7
31,2021-03-16,18900.0,18950.0,19150.0,18750.0,23800000.0,0.0
32,2021-03-15,18900.0,19200.0,19350.0,18900.0,22950000.0,-1.56
33,2021-03-12,19200.0,19400.0,19500.0,19000.0,19940000.0,-0.52
34,2021-03-11,19300.0,19000.0,19350.0,18850.0,34590000.0,3.21
35,2021-03-10,18700.0,18650.0,18900.0,18400.0,18970000.0,0.81
36,2021-03-09,18550.0,18500.0,18700.0,18300.0,14770000.0,-0.27
37,2021-03-08,18600.0,19000.0,19150.0,18500.0,13650000.0,-0.53
38,2021-03-05,18700.0,18350.0,18850.0,18150.0,24860000.0,1.9100000000000001
39,2021-03-04,18350.0,19050.0,19150.0,18300.0,23540000.0,-3.42
40,2021-03-03,19000.0,19150.0,19300.0,19000.0,16620000.000000002,-0.78
41,2021-03-02,19150.0,19600.0,19600.0,19050.0,21140000.0,0.26
42,2021-03-01,19100.0,18600.0,19150.0,18500.0,35780000.0,4.09
43,2021-02-26,18350.0,18250.0,18550.0,18200.0,17420000.0,-0.81
44,2021-02-25,18500.0,18600.0,18650.0,18200.0,18340000.0,0.82
45,2021-02-24,18350.0,18950.0,19150.0,18300.0,24700000.0,-2.39
46,2021-02-23,18800.0,18650.0,19000.0,18500.0,24900000.0,1.08
47,2021-02-22,18600.0,18800.0,19200.0,18550.0,25990000.0,-0.53
48,2021-02-19,18700.0,18400.0,19000.0,18250.0,22590000.0,0.54
49,2021-02-18,18600.0,18700.0,18800.0,18450.0,22500000.0,-0.8
50,2021-02-17,18750.0,18300.0,18800.0,18200.0,21030000.0,3.31
51,2021-02-09,18150.0,17500.0,18200.0,17100.0,18230000.0,4.31
52,2021-02-08,17400.0,18300.0,18450.0,17100.0,24040000.0,-4.92
53,2021-02-05,18300.0,17650.0,18300.0,17600.0,18060000.0,3.98
54,2021-02-04,17600.0,17900.0,18150.0,17550.0,18650000.0,-2.22
