,datetime,close,open,high,low,KL,% change
0,2021-05-26,304.86,301.63,305.72,301.03,135890.0,1.08
1,2021-05-25,301.59,300.47,301.83,299.78,116140.0,0.42
2,2021-05-24,300.33,298.01,300.33,297.67,106800.0,0.79
3,2021-05-21,297.99,295.1,299.63,293.98,133040.0,0.98
4,2021-05-20,295.1,295.39,296.29,294.33,124960.0,-0.05
5,2021-05-19,295.25,294.64,295.27,292.09,127040.0,0.21
6,2021-05-18,294.64,296.94,297.33,291.74,118990.0,-0.72
7,2021-05-17,296.79,294.72,300.46,294.16,128800.00000000001,0.7
8,2021-05-14,294.72,287.04,294.79,287.01,139290.0,2.68
9,2021-05-13,287.03,282.32,288.01,282.23,118830.0,1.6600000000000001
10,2021-05-12,282.33,279.71,282.49,277.99,88910.0,0.92
11,2021-05-11,279.76,280.27,282.58,278.93,110120.0,-0.18
12,2021-05-10,280.27,279.85,281.19,277.62,109900.0,0.15
13,2021-05-07,279.86,281.08,281.16,275.39,114820.0,-0.44
14,2021-05-06,281.09,280.86,286.13,280.78,112010.0,0.06
15,2021-05-05,280.93,277.71,281.96,277.32,115030.0,1.16
16,2021-05-04,277.71,281.98,282.0,276.49,100550.0,-1.43
17,2021-04-29,281.75,282.1,282.62,281.02,85140.0,-0.11
18,2021-04-28,282.07,280.56,282.1,279.02,85750.0,0.54
19,2021-04-27,280.56,280.68,280.68,277.56,100340.0,-0.04
20,2021-04-26,280.68,283.64,287.82,280.24,127900.0,-1.04
21,2021-04-23,283.63,287.03,287.53,277.93,137540.0,-1.19
22,2021-04-22,287.04,296.48,297.37,287.04,168390.0,-3.18
23,2021-04-20,296.48,295.73,297.57,295.48,155960.0,0.25
24,2021-04-19,295.75,293.11,295.78,291.13,151330.0,0.9
25,2021-04-16,293.11,296.17,297.12,290.18,218500.0,-1.02
26,2021-04-15,296.12,294.82,297.22,294.15,157310.0,0.44
27,2021-04-14,294.83,292.19,294.85,290.66,155270.0,0.9
28,2021-04-13,292.19,295.53,298.32,292.18,227370.0,-1.13
29,2021-04-12,295.53,293.78,295.85,292.83,183040.0,0.59
30,2021-04-09,293.79,293.76,294.15,291.92,160740.0,0.01
31,2021-04-08,293.75,292.86,294.26,291.13,178300.0,0.31
32,2021-04-07,292.84,291.69,293.26,291.05,157560.0,0.4
33,2021-04-06,291.68,292.03,292.82,288.97,189520.0,0.15
34,2021-04-05,291.24,295.61,297.34,291.23,148980.0,-1.24
35,2021-04-02,294.89,292.4,298.01,291.58,177980.0,0.85
36,2021-04-01,292.4,286.67,293.88,284.39,187290.0,2.0
37,2021-03-31,286.67,281.15,286.88,279.8,210730.0,1.97
38,2021-03-30,281.14,276.17,281.37,276.06,160750.0,1.8
39,2021-03-29,276.16,270.96,276.16,269.83,170190.0,1.92
40,2021-03-26,270.96,267.19,270.98,258.7,215600.0,1.41
41,2021-03-25,267.19,268.64,269.8,266.45,107150.0,-0.56
42,2021-03-24,268.69,272.37,272.73,265.11,168520.0,-1.34
43,2021-03-23,272.34,274.88,276.22,269.49,163930.0,-0.91
44,2021-03-22,274.84,277.7,278.96,274.31,131570.0,-1.03
45,2021-03-19,277.7,277.54,277.84,274.63,140300.0,0.08
46,2021-03-18,277.48,276.59,279.41,275.27,143070.0,0.34
47,2021-03-17,276.55,275.92,276.98,274.67,142960.0,0.24
48,2021-03-16,275.88,275.19,276.98,272.99,164910.0,0.25
49,2021-03-15,275.19,273.91,279.52,273.81,136800.0,0.47
50,2021-03-12,273.91,273.54,278.47,273.34,140790.0,0.14
51,2021-03-11,273.52,267.7,273.57,267.42,158680.0,2.4
52,2021-03-10,267.1,264.83,267.1,263.56,147130.0,0.86
53,2021-03-09,264.83,263.42,266.66,263.42,143850.0,0.54
54,2021-03-08,263.42,259.83,265.43,259.83,143300.0,1.3900000000000001
55,2021-03-05,259.8,255.77,260.61,253.99,151800.0,1.58
56,2021-03-04,255.77,254.1,257.24,251.41,171240.0,0.66
57,2021-03-03,254.1,247.93,254.1,247.62,118040.0,2.48
58,2021-03-02,247.94,252.37,255.06,247.93,111040.0,-1.76
59,2021-03-01,252.37,249.26,252.59,247.66,121120.0,1.26
60,2021-02-26,249.22,246.19,252.36,244.72,113010.0,1.23
61,2021-02-25,246.2,237.89,246.2,237.89,113340.0,3.49
62,2021-02-24,237.89,238.78,240.54,233.57,148610.0,-0.37
63,2021-02-23,238.78,237.97,238.78,232.46,124680.0,0.34
64,2021-02-22,237.97,231.18,238.2,229.62,104540.0,2.94
65,2021-02-19,231.18,230.96,232.24,229.16,100470.0,0.1
66,2021-02-18,230.96,230.57,232.27,229.96,124740.0,0.17
67,2021-02-17,230.57,225.37,230.57,224.02,86290.0,2.52
68,2021-02-09,224.9,220.56,225.36,219.76,73820.0,1.88
69,2021-02-08,220.76,223.85,227.32,219.1,122140.0,-1.38
70,2021-02-05,223.84,223.68,227.19,221.88,98600.0,0.07
71,2021-02-04,223.68,223.63,225.73,222.57,80180.0,0.03
72,2021-02-03,223.62,215.35,224.39,215.35,117130.0,3.84
73,2021-02-02,215.36,208.87,215.6,207.0,104280.0,3.12
74,2021-02-01,208.85,214.2,218.48,208.43,101500.0,-2.5
75,2021-01-29,214.21,203.04,214.53,195.19,162920.0,5.5
76,2021-01-28,203.05,220.77,220.77,201.36,119270.0,-8.03
77,2021-01-27,220.79,227.82,227.92,218.85,137300.0,-3.09
78,2021-01-26,227.82,231.86,234.95,222.62,183450.0,-1.73
79,2021-01-25,231.84,240.15,240.28,231.84,146270.0,-3.45
80,2021-01-22,240.12,240.35,245.75,233.82,144540.0,-0.06
81,2021-01-21,240.27,233.3,243.57,233.29,128130.0,3.01
82,2021-01-20,233.26,224.26,233.26,222.11,172450.0,4.12
83,2021-01-19,224.02,230.58,237.29,220.46,263620.0,-2.81
84,2021-01-18,230.5,225.51,232.83,225.49,155620.0,2.23
85,2021-01-15,225.47,222.51,227.09,220.82,174510.0,1.44
86,2021-01-14,222.27,222.5,222.91,219.66,124620.0,-0.1
87,2021-01-13,222.49,222.44,225.02,219.1,197120.0,0.23
88,2021-01-12,221.97,219.2,221.97,216.56,166540.0,1.3
89,2021-01-11,219.12,217.42,221.58,217.42,137890.0,0.79
90,2021-01-08,217.4,216.23,218.12,215.6,165000.0,0.54
91,2021-01-07,216.23,211.67,216.23,211.16,152230.0,2.15
92,2021-01-06,211.68,208.16,212.95,208.16,125950.0,1.71
93,2021-01-05,208.13,206.29,213.01,205.72,123470.0,0.9
94,2021-01-04,206.28,203.12,206.6,200.46,106190.0,1.56
95,2020-12-31,203.12,196.94,203.15,194.34,100180.0,3.14
96,2020-12-30,196.94,197.1,197.32,192.06,110790.0,-0.08
97,2020-12-29,197.1,196.58,197.85,194.2,101700.0,0.27
98,2020-12-28,196.57,192.46,198.08,192.44,122330.0,2.14
99,2020-12-25,192.46,187.63,192.67,183.87,98210.0,2.57
100,2020-12-24,187.63,190.26,190.65,184.22,132740.0,-1.38
101,2020-12-23,190.25,187.88,191.52,187.36,145160.0,1.28
102,2020-12-22,187.85,182.11,187.85,180.21,114460.0,3.15
103,2020-12-21,182.11,177.02,182.12,177.02,115870.0,2.88
104,2020-12-18,177.02,172.01,177.07,170.0,88880.0,2.92
105,2020-12-17,172.0,171.73,172.33,169.16,112270.0,0.22
106,2020-12-16,171.62,167.83,172.1,167.83,71330.0,2.23
107,2020-12-15,167.87,165.74,168.76,165.71,100910.0,1.29
