,datetime,close,open,high,low,KL,% change
0,2021-05-26,83.06,82.99,83.23,82.81,55920.0,0.18
1,2021-05-25,82.91,82.64,83.18,82.58,57790.0,0.34
2,2021-05-24,82.63,81.63,82.79,81.59,48480.0,1.23
3,2021-05-21,81.63,79.74,81.8,79.53,115860.0,2.36
4,2021-05-20,79.75,79.82,80.0,79.43,60380.0,-0.08
5,2021-05-19,79.81,80.07,80.28,79.62,37910.0,-0.31
6,2021-05-18,80.06,80.42,80.51,79.92,57660.0,-0.45
7,2021-05-17,80.42,81.01,81.14,80.12,45110.0,-0.72
8,2021-05-14,81.0,81.17,81.55,80.84,84220.0,-0.21
9,2021-05-13,81.17,81.46,81.67,81.04,51250.0,-0.37
10,2021-05-12,81.47,81.08,81.48,80.87,47850.0,0.49
11,2021-05-11,81.07,80.82,81.13,80.63,45490.0,0.28
12,2021-05-10,80.84,80.85,80.87,80.34,51820.0,-0.01
13,2021-05-07,80.85,81.18,81.33,80.07,97050.0,-0.41
14,2021-05-06,81.18,80.64,81.41,80.54,52170.0,0.64
15,2021-05-05,80.66,79.86,80.76,79.8,50850.0,1.0
16,2021-05-04,79.86,80.68,80.7,79.26,38950.0,-1.02
17,2021-04-29,80.68,80.12,80.83,80.04,40380.0,0.7
18,2021-04-28,80.12,79.42,80.13,79.28,28940.0,0.89
19,2021-04-27,79.41,79.42,79.96,79.24,38100.0,-0.01
20,2021-04-26,79.42,80.4,80.85,79.26,48620.0,-1.22
21,2021-04-23,80.4,79.75,80.48,78.88,109450.0,0.82
22,2021-04-22,79.75,81.7,82.0,79.58,62210.0,-2.42
23,2021-04-20,81.73,81.98,82.38,81.5,64269.99999999999,-0.32
24,2021-04-19,81.99,81.79,82.04,81.1,54230.0,0.24
25,2021-04-16,81.79,82.7,82.91,81.05,127180.0,-1.1
26,2021-04-15,82.7,83.4,83.61,82.47,70390.0,-0.84
27,2021-04-14,83.4,83.14,83.4,82.38,71650.0,0.32
28,2021-04-13,83.13,84.12,84.32,82.95,114570.0,-1.15
29,2021-04-12,84.1,83.01,84.15,83.01,77130.0,1.31
30,2021-04-09,83.01,83.07,83.31,82.64,107620.0,-0.07
31,2021-04-08,83.07,82.83,83.26,82.31,89560.0,0.62
32,2021-04-07,82.56,82.58,82.72,82.25,73950.0,-0.05
33,2021-04-06,82.6,82.84,82.87,82.24,80180.0,-0.29
34,2021-04-05,82.84,82.27,83.01,82.27,83920.0,0.69
35,2021-04-02,82.27,81.71,82.51,81.69,112230.0,0.69
36,2021-04-01,81.71,81.41,81.89,81.2,72590.0,0.37
37,2021-03-31,81.41,80.62,81.43,80.59,87470.0,0.97
38,2021-03-30,80.63,80.52,80.8,80.07,52310.0,0.14
