,datetime,close,open,high,low,KL,% change
0,2021-05-26,1316.7,1308.04,1317.3,1304.68,713070.0,0.62
1,2021-05-25,1308.58,1299.19,1308.58,1297.23,679060.0,0.82
2,2021-05-24,1297.98,1287.5,1299.83,1287.36,715510.0,1.09
3,2021-05-21,1283.93,1272.84,1289.03,1268.46,698930.0,0.45
4,2021-05-20,1278.22,1264.62,1278.22,1255.78,745210.0,1.25
5,2021-05-19,1262.49,1254.78,1262.71,1250.58,694350.0,0.78
6,2021-05-18,1252.68,1259.57,1262.22,1249.02,692480.0,-0.48
7,2021-05-17,1258.7,1272.55,1277.83,1258.5,758290.0,-0.6
8,2021-05-14,1266.36,1266.43,1271.45,1259.97,730990.0,0.35
9,2021-05-13,1261.99,1262.98,1273.49,1261.99,711520.0,-0.56
10,2021-05-12,1269.09,1251.97,1269.09,1249.18,700670.0,1.04
11,2021-05-11,1256.04,1265.11,1272.55,1256.04,770090.0,-0.28
12,2021-05-10,1259.58,1239.96,1259.58,1236.85,773060.0,1.43
13,2021-05-07,1241.81,1245.48,1250.5,1231.92,783040.0,-0.7
14,2021-05-06,1250.57,1255.42,1261.49,1246.64,730500.0,-0.47
15,2021-05-05,1256.43,1244.69,1265.93,1244.69,744430.0,1.15
16,2021-05-04,1242.2,1222.08,1242.8,1212.56,798490.0,0.23
17,2021-04-29,1239.39,1234.91,1239.39,1231.25,647160.0,0.8
18,2021-04-28,1229.55,1220.26,1230.91,1217.49,612700.0,0.8
19,2021-04-27,1219.75,1213.84,1220.96,1204.14,618170.0,0.33
20,2021-04-26,1215.77,1251.25,1251.25,1214.14,744950.0,-2.62
21,2021-04-23,1248.53,1227.18,1248.53,1216.15,716520.0,1.69
22,2021-04-22,1227.82,1264.31,1271.98,1227.82,770370.0,-3.19
23,2021-04-20,1268.28,1267.74,1286.32,1261.28,843600.0,0.61
24,2021-04-19,1260.58,1243.58,1260.58,1233.77,817130.0,1.77
25,2021-04-16,1238.71,1245.06,1254.61,1227.14,986880.0,-0.68
26,2021-04-15,1247.25,1262.25,1265.87,1247.25,806490.0,-0.69
27,2021-04-14,1255.87,1240.9,1255.87,1233.01,861960.0,0.6
28,2021-04-13,1248.33,1262.44,1268.02,1247.66,1030000.0,-0.33
29,2021-04-12,1252.45,1236.79,1252.45,1232.35,890310.0,1.69
30,2021-04-09,1231.66,1231.51,1234.98,1227.6,732820.0,-0.26
31,2021-04-08,1234.89,1242.38,1246.4,1232.26,664510.0,-0.6
32,2021-04-07,1242.38,1237.39,1242.38,1232.52,727820.0,0.2
33,2021-04-06,1239.96,1233.37,1244.63,1231.14,694060.0,0.32
34,2021-04-05,1236.05,1245.28,1245.28,1228.18,693040.0,0.95
35,2021-04-02,1224.45,1225.76,1228.29,1221.07,661890.0,0.69
36,2021-04-01,1216.1,1194.59,1217.26,1192.83,672840.0,2.07
37,2021-03-31,1191.44,1186.36,1196.45,1186.36,703080.0,0.43
38,2021-03-30,1186.36,1179.64,1187.29,1172.85,780730.0,0.91
39,2021-03-29,1175.68,1169.65,1175.77,1165.78,660950.0,1.16
40,2021-03-26,1162.21,1162.71,1165.76,1137.9,670460.0,-0.08
41,2021-03-25,1163.1,1164.41,1170.76,1154.44,690730.0,0.11
42,2021-03-24,1161.81,1169.42,1174.2,1154.22,750480.0,-1.83
43,2021-03-23,1183.45,1190.28,1191.47,1177.1,683720.0,-0.92
44,2021-03-22,1194.43,1200.05,1200.21,1189.31,700870.0,0.03
45,2021-03-19,1194.05,1195.47,1199.67,1191.96,680900.0,-0.57
46,2021-03-18,1200.94,1196.6,1200.94,1191.94,628640.0,1.25
47,2021-03-17,1186.09,1178.64,1186.09,1176.26,701090.0,0.52
48,2021-03-16,1179.9,1184.91,1184.91,1171.76,683850.0,-0.39
49,2021-03-15,1184.56,1183.89,1186.06,1178.8,676960.0,0.25
50,2021-03-12,1181.56,1185.21,1186.52,1178.14,624710.0,-0.01
51,2021-03-11,1181.73,1170.08,1183.73,1170.08,629100.0,1.0
