,datetime,close,open,high,low,KL,% change
0,2021-04-29,124900.0,126000.0,126100.0,124100.0,520600.0,-0.87
1,2021-04-28,126000.0,127200.0,127200.0,124700.0,517100.0,-0.94
2,2021-04-27,127200.0,127500.0,127900.0,126000.0,474700.0,-0.24
3,2021-04-26,127500.0,130600.0,130600.0,123500.0,562600.0,-1.54
4,2021-04-23,129500.0,130400.0,130800.0,126500.0,812600.0,-0.69
5,2021-04-22,130400.0,130500.0,132100.0,130300.0,772400.0,-0.46
6,2021-04-20,131000.0,129200.0,132000.0,128800.0,729500.0,1.3900000000000001
7,2021-04-19,129200.0,129000.0,129600.0,128000.0,592600.0,0.16
8,2021-04-16,129000.0,131700.0,131700.0,128200.0,431200.0,-2.05
9,2021-04-15,131700.0,132000.0,132400.0,129000.0,640800.0,-0.23
10,2021-04-14,132000.0,132200.0,132300.0,131000.0,508200.0,0.08
11,2021-04-13,131900.0,132400.0,132400.0,131100.0,499500.0,0.08
12,2021-04-12,131800.0,132100.0,132100.0,130900.0,621400.0,0.0
13,2021-04-09,131800.0,133500.0,133500.0,131400.0,417900.0,-0.9
14,2021-04-08,133000.0,133500.0,134000.0,132600.0,418400.0,0.0
15,2021-04-07,133000.0,133000.0,134000.0,132100.0,381100.0,0.0
16,2021-04-06,133000.0,132500.0,133800.0,132200.0,427200.0,0.53
17,2021-04-05,132300.0,136000.0,136000.0,132200.0,440800.0,0.0
18,2021-04-02,132300.0,133800.0,134300.0,132300.0,530900.0,-0.15
19,2021-04-01,132500.0,130000.0,132900.0,129700.0,536300.0,2.16
20,2021-03-31,129700.0,131500.0,131600.0,129700.0,456300.0,-1.44
21,2021-03-30,131600.0,131600.0,131700.0,130000.0,509900.0,0.0
22,2021-03-29,131600.0,130700.0,131600.0,130500.0,640100.0,0.84
23,2021-03-26,130500.0,128300.0,130500.0,128200.0,403500.0,1.87
24,2021-03-25,128100.0,128000.0,130900.0,127800.0,508100.0,0.08
25,2021-03-24,128000.0,130000.0,131100.0,127500.0,415100.0,-2.29
26,2021-03-23,131000.0,132000.0,132600.0,130100.0,356300.0,-1.28
27,2021-03-22,132700.0,131600.0,133000.0,131500.0,507300.0,1.69
28,2021-03-19,130500.0,134400.0,134600.0,130500.0,934300.0,-3.26
29,2021-03-18,134900.0,133500.0,134900.0,133000.0,499900.0,1.05
30,2021-03-17,133500.0,134200.0,134300.0,131200.0,564100.0,-0.82
31,2021-03-16,134600.0,135000.0,135100.0,133000.0,477000.0,-0.3
32,2021-03-15,135000.0,135000.0,135400.0,133500.0,495700.0,0.0
33,2021-03-12,135000.0,135500.0,136300.0,134000.0,528900.0,-0.81
34,2021-03-11,136100.0,135800.0,136500.0,135200.0,633000.0,0.44
35,2021-03-10,135500.0,134900.0,135500.0,133600.0,767100.0,0.44
36,2021-03-09,134900.0,135600.0,135600.0,133000.0,476800.0,-0.81
37,2021-03-08,136000.0,137200.0,137300.0,134200.0,493900.0,-0.58
38,2021-03-05,136800.0,136400.0,137000.0,135000.0,490100.0,0.0
39,2021-03-04,136800.0,136500.0,137700.0,135300.0,353700.0,-0.29
40,2021-03-03,137200.0,137400.0,137800.0,135500.0,704400.0,-0.36
41,2021-03-02,137700.0,136700.0,138500.0,135100.0,802800.0,1.1
42,2021-03-01,136200.0,135300.0,136900.0,135000.0,663800.0,0.81
43,2021-02-26,135100.0,134500.0,136000.0,133500.0,772100.0,0.07
44,2021-02-25,135000.0,132000.0,135000.0,131200.0,839300.0,2.35
45,2021-02-24,131900.0,134000.0,135000.0,131500.0,545400.0,-1.5699999999999998
46,2021-02-23,134000.0,131300.0,134500.0,129300.0,1230000.0,1.8199999999999998
47,2021-02-22,131600.0,131900.0,131900.0,130000.0,577000.0,-0.15
48,2021-02-19,131800.0,131500.0,131900.0,129800.0,536500.0,0.0
