"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/05/2021","304.86","301.63","305.72","301.03","135.89K","1.08%"
"25/05/2021","301.59","300.47","301.83","299.78","116.14K","0.42%"
"24/05/2021","300.33","298.01","300.33","297.67","106.80K","0.79%"
"21/05/2021","297.99","295.10","299.63","293.98","133.04K","0.98%"
"20/05/2021","295.10","295.39","296.29","294.33","124.96K","-0.05%"
"19/05/2021","295.25","294.64","295.27","292.09","127.04K","0.21%"
"18/05/2021","294.64","296.94","297.33","291.74","118.99K","-0.72%"
"17/05/2021","296.79","294.72","300.46","294.16","128.80K","0.70%"
"14/05/2021","294.72","287.04","294.79","287.01","139.29K","2.68%"
"13/05/2021","287.03","282.32","288.01","282.23","118.83K","1.66%"
"12/05/2021","282.33","279.71","282.49","277.99","88.91K","0.92%"
"11/05/2021","279.76","280.27","282.58","278.93","110.12K","-0.18%"
"10/05/2021","280.27","279.85","281.19","277.62","109.90K","0.15%"
"07/05/2021","279.86","281.08","281.16","275.39","114.82K","-0.44%"
"06/05/2021","281.09","280.86","286.13","280.78","112.01K","0.06%"
"05/05/2021","280.93","277.71","281.96","277.32","115.03K","1.16%"
"04/05/2021","277.71","281.98","282.00","276.49","100.55K","-1.43%"
"29/04/2021","281.75","282.10","282.62","281.02","85.14K","-0.11%"
"28/04/2021","282.07","280.56","282.10","279.02","85.75K","0.54%"
"27/04/2021","280.56","280.68","280.68","277.56","100.34K","-0.04%"
"26/04/2021","280.68","283.64","287.82","280.24","127.90K","-1.04%"
"23/04/2021","283.63","287.03","287.53","277.93","137.54K","-1.19%"
"22/04/2021","287.04","296.48","297.37","287.04","168.39K","-3.18%"
"20/04/2021","296.48","295.73","297.57","295.48","155.96K","0.25%"
"19/04/2021","295.75","293.11","295.78","291.13","151.33K","0.90%"
"16/04/2021","293.11","296.17","297.12","290.18","218.50K","-1.02%"
"15/04/2021","296.12","294.82","297.22","294.15","157.31K","0.44%"
"14/04/2021","294.83","292.19","294.85","290.66","155.27K","0.90%"
"13/04/2021","292.19","295.53","298.32","292.18","227.37K","-1.13%"
"12/04/2021","295.53","293.78","295.85","292.83","183.04K","0.59%"
"09/04/2021","293.79","293.76","294.15","291.92","160.74K","0.01%"
"08/04/2021","293.75","292.86","294.26","291.13","178.30K","0.31%"
"07/04/2021","292.84","291.69","293.26","291.05","157.56K","0.40%"
"06/04/2021","291.68","292.03","292.82","288.97","189.52K","0.15%"
"05/04/2021","291.24","295.61","297.34","291.23","148.98K","-1.24%"
"02/04/2021","294.89","292.40","298.01","291.58","177.98K","0.85%"
"01/04/2021","292.40","286.67","293.88","284.39","187.29K","2.00%"
"31/03/2021","286.67","281.15","286.88","279.80","210.73K","1.97%"
"30/03/2021","281.14","276.17","281.37","276.06","160.75K","1.80%"
