"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/05/2021","1,316.70","1,308.04","1,317.30","1,304.68","713.07K","0.62%"
"25/05/2021","1,308.58","1,299.19","1,308.58","1,297.23","679.06K","0.82%"
"24/05/2021","1,297.98","1,287.50","1,299.83","1,287.36","715.51K","1.09%"
"21/05/2021","1,283.93","1,272.84","1,289.03","1,268.46","698.93K","0.45%"
"20/05/2021","1,278.22","1,264.62","1,278.22","1,255.78","745.21K","1.25%"
"19/05/2021","1,262.49","1,254.78","1,262.71","1,250.58","694.35K","0.78%"
"18/05/2021","1,252.68","1,259.57","1,262.22","1,249.02","692.48K","-0.48%"
"17/05/2021","1,258.70","1,272.55","1,277.83","1,258.50","758.29K","-0.60%"
"14/05/2021","1,266.36","1,266.43","1,271.45","1,259.97","730.99K","0.35%"
"13/05/2021","1,261.99","1,262.98","1,273.49","1,261.99","711.52K","-0.56%"
"12/05/2021","1,269.09","1,251.97","1,269.09","1,249.18","700.67K","1.04%"
"11/05/2021","1,256.04","1,265.11","1,272.55","1,256.04","770.09K","-0.28%"
"10/05/2021","1,259.58","1,239.96","1,259.58","1,236.85","773.06K","1.43%"
"07/05/2021","1,241.81","1,245.48","1,250.50","1,231.92","783.04K","-0.70%"
"06/05/2021","1,250.57","1,255.42","1,261.49","1,246.64","730.50K","-0.47%"
"05/05/2021","1,256.43","1,244.69","1,265.93","1,244.69","744.43K","1.15%"
"04/05/2021","1,242.20","1,222.08","1,242.80","1,212.56","798.49K","0.23%"
"29/04/2021","1,239.39","1,234.91","1,239.39","1,231.25","647.16K","0.80%"
"28/04/2021","1,229.55","1,220.26","1,230.91","1,217.49","612.70K","0.80%"
"27/04/2021","1,219.75","1,213.84","1,220.96","1,204.14","618.17K","0.33%"
"26/04/2021","1,215.77","1,251.25","1,251.25","1,214.14","744.95K","-2.62%"
"23/04/2021","1,248.53","1,227.18","1,248.53","1,216.15","716.52K","1.69%"
"22/04/2021","1,227.82","1,264.31","1,271.98","1,227.82","770.37K","-3.19%"
"20/04/2021","1,268.28","1,267.74","1,286.32","1,261.28","843.60K","0.61%"
"19/04/2021","1,260.58","1,243.58","1,260.58","1,233.77","817.13K","1.77%"
"16/04/2021","1,238.71","1,245.06","1,254.61","1,227.14","986.88K","-0.68%"
"15/04/2021","1,247.25","1,262.25","1,265.87","1,247.25","806.49K","-0.69%"
"14/04/2021","1,255.87","1,240.90","1,255.87","1,233.01","861.96K","0.60%"
"13/04/2021","1,248.33","1,262.44","1,268.02","1,247.66","1.03M","-0.33%"
"12/04/2021","1,252.45","1,236.79","1,252.45","1,232.35","890.31K","1.69%"
"09/04/2021","1,231.66","1,231.51","1,234.98","1,227.60","732.82K","-0.26%"
"08/04/2021","1,234.89","1,242.38","1,246.40","1,232.26","664.51K","-0.60%"
"07/04/2021","1,242.38","1,237.39","1,242.38","1,232.52","727.82K","0.20%"
"06/04/2021","1,239.96","1,233.37","1,244.63","1,231.14","694.06K","0.32%"
"05/04/2021","1,236.05","1,245.28","1,245.28","1,228.18","693.04K","0.95%"
"02/04/2021","1,224.45","1,225.76","1,228.29","1,221.07","661.89K","0.69%"
"01/04/2021","1,216.10","1,194.59","1,217.26","1,192.83","672.84K","2.07%"
"31/03/2021","1,191.44","1,186.36","1,196.45","1,186.36","703.08K","0.43%"
"30/03/2021","1,186.36","1,179.64","1,187.29","1,172.85","780.73K","0.91%"
"29/03/2021","1,175.68","1,169.65","1,175.77","1,165.78","660.95K","1.16%"
"26/03/2021","1,162.21","1,162.71","1,165.76","1,137.90","670.46K","-0.08%"
"25/03/2021","1,163.10","1,164.41","1,170.76","1,154.44","690.73K","0.11%"
"24/03/2021","1,161.81","1,169.42","1,174.20","1,154.22","750.48K","-1.83%"
"23/03/2021","1,183.45","1,190.28","1,191.47","1,177.10","683.72K","-0.92%"
