,datetime,close,open,high,low,KL,% change
0,2021-04-29,10800.0,11200.0,11200.0,10700.0,735800.0,-1.8199999999999998
1,2021-04-28,11000.0,10900.0,11000.0,10600.0,785220.0,0.0
2,2021-04-27,11000.0,11000.0,11100.0,10800.0,370050.0,-0.9
3,2021-04-26,11100.0,11200.0,11600.0,10900.0,729820.0,-3.48
4,2021-04-23,11500.0,11100.0,11500.0,10400.0,643560.0,3.6
5,2021-04-22,11100.0,11600.0,11800.0,11100.0,733300.0,-4.31
6,2021-04-20,11600.0,11700.0,11900.0,11500.0,726250.0,-0.85
7,2021-04-19,11700.0,12000.0,12000.0,11500.0,711390.0,-2.5
8,2021-04-16,12000.0,12000.0,12200.0,11600.0,1410000.0,-1.6400000000000001
9,2021-04-15,12200.0,12900.0,13000.0,12200.0,1260000.0,-3.94
10,2021-04-14,12700.0,12500.0,12800.0,12300.0,959580.0,1.6
11,2021-04-13,12500.0,13100.0,13200.0,12500.0,1760000.0,-3.85
12,2021-04-12,13000.0,12900.0,13200.0,12700.0,1660000.0000000002,0.78
13,2021-04-09,12900.0,12900.0,13100.0,12700.0,998820.0,-0.77
14,2021-04-08,13000.0,12900.0,13400.0,12600.0,2089999.9999999998,1.56
15,2021-04-07,12800.0,11700.0,12800.0,11700.0,3070000.0,9.4
16,2021-04-06,11700.0,12000.0,12000.0,11700.0,1410000.0,-2.5
17,2021-04-05,12000.0,12200.0,12400.0,11900.0,1050000.0,-1.6400000000000001
18,2021-04-02,12200.0,12400.0,12600.0,12100.0,1200000.0,-1.6099999999999999
19,2021-04-01,12400.0,11600.0,12400.0,11500.0,2069999.9999999998,6.9
20,2021-03-31,11600.0,11800.0,11800.0,11400.0,1320000.0,-1.69
21,2021-03-30,11800.0,11900.0,12000.0,11600.0,1070000.0,-0.84
22,2021-03-29,11900.0,12100.0,12200.0,11600.0,980790.0,-0.83
23,2021-03-26,12000.0,11700.0,12000.0,10700.0,1480000.0,2.56
24,2021-03-25,11700.0,12300.0,12600.0,11700.0,1310000.0,-4.88
25,2021-03-24,12300.0,11900.0,12600.0,11700.0,3370000.0,3.36
26,2021-03-23,11900.0,11700.0,12300.0,11600.0,2000000.0,1.71
27,2021-03-22,11700.0,11800.0,12000.0,11600.0,1180000.0,-0.85
28,2021-03-19,11800.0,11200.0,12000.0,10900.0,2400000.0,5.36
29,2021-03-18,11200.0,11100.0,11300.0,10900.0,757360.0,0.9
30,2021-03-17,11100.0,11000.0,11600.0,10800.0,1580000.0,0.91
31,2021-03-16,11000.0,11300.0,11300.0,10800.0,1560000.0,-2.65
32,2021-03-15,11300.0,11400.0,11400.0,10800.0,1130000.0,0.0
33,2021-03-12,11300.0,10600.0,11500.0,10400.0,2950000.0,6.6
34,2021-03-11,10600.0,10800.0,10800.0,10000.0,1350000.0,-1.85
35,2021-03-10,10800.0,11000.0,11300.0,10800.0,2700000.0,2.86
36,2021-03-09,10500.0,9600.0,10500.0,9400.0,4000000.0,9.38
37,2021-03-08,9600.0,9500.0,9800.0,9300.0,1560000.0,1.05
38,2021-03-05,9500.0,9100.0,9500.0,9000.0,891440.0,3.26
39,2021-03-04,9200.0,9500.0,9500.0,8900.0,912630.0,-3.16
40,2021-03-03,9500.0,9100.0,9500.0,9100.0,1300000.0,3.26
41,2021-03-02,9200.0,9200.0,9200.0,8900.0,696190.0,1.1
42,2021-03-01,9100.0,8900.0,9200.0,8900.0,575310.0,2.25
43,2021-02-26,8900.0,8700.0,8900.0,8600.0,618560.0,1.1400000000000001
44,2021-02-25,8800.0,8900.0,9000.0,8700.0,700210.0,-1.12
45,2021-02-24,8900.0,9200.0,9200.0,8800.0,676440.0,-3.26
46,2021-02-23,9200.0,9100.0,9300.0,9000.0,495230.0,2.22
47,2021-02-22,9000.0,8600.0,9300.0,8600.0,1690000.0,4.65
48,2021-02-19,8600.0,8500.0,8700.0,8400.0,518590.00000000006,1.18
49,2021-02-18,8500.0,8600.0,8700.0,8500.0,510840.0,-1.16
50,2021-02-17,8600.0,9000.0,9000.0,8400.0,395140.0,2.38
51,2021-02-09,8400.0,8200.0,8600.0,8200.0,306690.0,1.2
52,2021-02-08,8300.0,8500.0,8800.0,8200.0,714430.0,-2.35
53,2021-02-05,8500.0,8300.0,8500.0,8300.0,328460.0,2.41
54,2021-02-04,8300.0,8200.0,8500.0,8000.0,833090.0,3.75
55,2021-02-03,8000.0,7600.0,8100.0,7600.0,467700.0,5.26
56,2021-02-02,7600.0,7500.0,7800.0,7400.0,381020.0,1.33
57,2021-02-01,7500.0,7500.0,7900.0,7300.0,900510.0,0.0
58,2021-01-29,7500.0,6600.0,7900.0,6600.0,879990.0,2.74
59,2021-01-28,7300.0,8100.0,8100.0,7300.0,1500000.0,-9.88
60,2021-01-27,8100.0,8700.0,9000.0,8100.0,1260000.0,-10.0
61,2021-01-26,9000.0,9400.0,9400.0,8900.0,797780.0,-4.26
62,2021-01-25,9400.0,9300.0,9500.0,9000.0,395000.0,1.08
63,2021-01-22,9300.0,9600.0,9700.0,9300.0,837140.0,-4.12
64,2021-01-21,9700.0,9300.0,9700.0,9200.0,500560.0,4.3
65,2021-01-20,9300.0,9300.0,9600.0,8500.0,967750.0,-1.06
66,2021-01-19,9400.0,9800.0,10200.0,8900.0,1859999.9999999998,-4.08
67,2021-01-18,9800.0,9800.0,9900.0,9700.0,729090.0,0.0
68,2021-01-15,9800.0,9800.0,9900.0,9600.0,1190000.0,0.0
69,2021-01-14,9800.0,9800.0,9900.0,9600.0,1090000.0,0.0
70,2021-01-13,9800.0,10000.0,10000.0,9700.0,1190000.0,-2.0
71,2021-01-12,10000.0,10200.0,10200.0,9800.0,1500000.0,-0.99
72,2021-01-11,10100.0,9400.0,10300.0,9400.0,2330000.0,7.45
73,2021-01-08,9400.0,9700.0,9700.0,9300.0,1020000.0,-2.08
74,2021-01-07,9600.0,9300.0,9700.0,9100.0,1920000.0,3.23
75,2021-01-06,9300.0,9600.0,9600.0,9200.0,1920000.0,-2.11
76,2021-01-05,9500.0,9700.0,9800.0,9400.0,1440000.0,-2.06
77,2021-01-04,9700.0,9600.0,9900.0,9500.0,1520000.0,1.04
78,2020-12-31,9600.0,9600.0,9600.0,9300.0,674690.0,0.0
79,2020-12-30,9600.0,9700.0,9800.0,9300.0,1070000.0,-2.04
80,2020-12-29,9800.0,9100.0,10000.0,9000.0,1920000.0,7.6899999999999995
81,2020-12-28,9100.0,8900.0,9300.0,8900.0,1800000.0,2.25
82,2020-12-25,8900.0,8700.0,8900.0,8400.0,1190000.0,2.3
83,2020-12-24,8700.0,8800.0,9000.0,8300.0,1250000.0,-3.33
84,2020-12-23,9000.0,8900.0,9300.0,8700.0,2650000.0,1.12
85,2020-12-22,8900.0,8200.0,8900.0,8100.0,2780000.0000000005,8.54
86,2020-12-21,8200.0,8300.0,8400.0,8200.0,1050000.0,-1.2
87,2020-12-18,8300.0,7800.0,8400.0,7800.0,2450000.0,6.41
88,2020-12-17,7800.0,7600.0,7900.0,7600.0,991560.0,2.63
89,2020-12-16,7600.0,7600.0,7800.0,7500.0,1010000.0,0.0
90,2020-12-15,7600.0,7700.0,7800.0,7600.0,505040.0,-2.56
91,2020-12-14,7800.0,7700.0,7900.0,7700.0,459060.0,1.3
92,2020-12-11,7700.0,7600.0,7700.0,7500.0,314390.0,1.32
93,2020-12-10,7600.0,7600.0,7900.0,7500.0,1090000.0,0.0
94,2020-12-09,7600.0,7700.0,7700.0,7500.0,418730.0,-1.3
95,2020-12-08,7700.0,7900.0,7900.0,7600.0,572490.0,-2.5300000000000002
96,2020-12-07,7900.0,7300.0,7900.0,7300.0,1390000.0000000002,8.22
97,2020-12-04,7300.0,7200.0,7400.0,7200.0,196720.0,1.3900000000000001
98,2020-12-03,7200.0,7200.0,7200.0,7100.0,203580.0,0.0
99,2020-12-02,7200.0,7300.0,7400.0,7200.0,223470.0,-1.37
100,2020-12-01,7300.0,7200.0,7300.0,7100.0,229550.0,1.3900000000000001
101,2020-11-30,7200.0,7200.0,7300.0,7200.0,156730.0,0.0
102,2020-11-27,7200.0,7300.0,7300.0,7200.0,216730.0,-1.37
103,2020-11-26,7300.0,7200.0,7300.0,7100.0,282350.0,1.3900000000000001
104,2020-11-25,7200.0,7200.0,7300.0,7100.0,237010.0,0.0
105,2020-11-24,7200.0,7300.0,7300.0,7100.0,303820.0,-1.37
106,2020-11-23,7300.0,7400.0,7400.0,7200.0,239820.0,0.0
107,2020-11-20,7300.0,7500.0,7500.0,7300.0,193840.0,-2.67
108,2020-11-19,7500.0,7700.0,7700.0,7300.0,331820.0,-1.32
109,2020-11-18,7600.0,7100.0,7600.0,7100.0,741240.0,8.57
110,2020-11-17,7000.0,7000.0,7200.0,7000.0,137130.0,0.0
111,2020-11-16,7000.0,7000.0,7100.0,6800.0,190560.0,1.45
112,2020-11-13,6900.0,6900.0,6900.0,6800.0,24410.0,0.0
113,2020-11-12,6900.0,6900.0,7000.0,6900.0,9530.0,-1.43
114,2020-11-11,7000.0,6900.0,7000.0,6800.0,44190.0,1.45
115,2020-11-10,6900.0,7000.0,7000.0,6800.0,61090.0,-1.43
116,2020-11-09,7000.0,6900.0,7000.0,6800.0,33350.0,1.45
117,2020-11-06,6900.0,6900.0,7000.0,6800.0,8290.0,1.47
118,2020-11-05,6800.0,7000.0,7000.0,6800.0,82680.0,-2.86
119,2020-11-04,7000.0,6800.0,7000.0,6800.0,55900.0,2.94
120,2020-11-03,6800.0,6800.0,6800.0,6700.0,11550.0,0.0
121,2020-11-02,6800.0,6700.0,6800.0,6700.0,28710.0,1.49
122,2020-10-30,6700.0,6600.0,6700.0,6500.0,18820.0,3.08
123,2020-10-29,6500.0,6500.0,6600.0,6300.0,157300.0,0.0
124,2020-10-28,6500.0,6600.0,6800.0,6500.0,87830.0,-1.52
125,2020-10-27,6600.0,6900.0,6900.0,6600.0,121780.0,-5.71
126,2020-10-26,7000.0,7000.0,7000.0,6800.0,219920.0,0.0
127,2020-10-23,7000.0,7100.0,7100.0,7000.0,121440.0,-1.41
128,2020-10-22,7100.0,7000.0,7100.0,7000.0,121700.0,0.0
129,2020-10-21,7100.0,7100.0,7100.0,7000.0,38980.0,0.0
130,2020-10-20,7100.0,7000.0,7200.0,7000.0,71230.0,0.0
131,2020-10-19,7100.0,7100.0,7200.0,7100.0,30020.0,0.0
132,2020-10-16,7100.0,7100.0,7200.0,7100.0,87230.0,0.0
133,2020-10-15,7100.0,7200.0,7300.0,7100.0,69230.0,-1.3900000000000001
134,2020-10-14,7200.0,7300.0,7300.0,7100.0,110500.0,-2.7
135,2020-10-13,7400.0,7400.0,7400.0,7100.0,200700.0,0.0
136,2020-10-12,7400.0,7400.0,7500.0,7300.0,173860.0,0.0
137,2020-10-09,7400.0,7400.0,7500.0,7400.0,144220.0,0.0
138,2020-10-08,7400.0,7500.0,7500.0,7400.0,75700.0,0.0
139,2020-10-07,7400.0,7500.0,7600.0,7400.0,388980.0,-2.63
140,2020-10-06,7600.0,7600.0,7700.0,7500.0,226540.0,0.0
141,2020-10-05,7600.0,7600.0,7600.0,7500.0,292800.0,1.33
142,2020-10-02,7500.0,7600.0,7700.0,7400.0,426320.0,-1.32
143,2020-10-01,7600.0,7500.0,7600.0,7500.0,205400.0,1.33
144,2020-09-30,7500.0,7400.0,7500.0,7400.0,315600.0,1.35
145,2020-09-29,7400.0,7700.0,7700.0,7400.0,252980.0,-3.9
146,2020-09-28,7700.0,7700.0,7700.0,7500.0,436290.0,1.32
147,2020-09-25,7600.0,7300.0,7700.0,7200.0,523330.00000000006,4.11
148,2020-09-24,7300.0,7800.0,7800.0,7200.0,375660.0,0.94
149,2020-09-23,7232.01,7321.04,7321.04,7232.01,616730.0,-1.22
150,2020-09-22,7321.04,7410.07,7410.07,7232.01,954390.0,-1.2
