,datetime,close,open,high,low,KL,% change
0,2021-04-29,17194.0,16900.0,17194.0,16827.0,1170000.0,1.74
1,2021-04-28,16900.0,16753.0,17194.0,16753.0,828700.0,0.88
2,2021-04-27,16753.0,16974.0,17268.0,16459.0,873480.0,-1.3
3,2021-04-26,16974.0,18002.0,18002.0,16900.0,1589999.9999999998,-5.71
4,2021-04-23,18002.0,16533.0,18002.0,14990.0,2469999.9999999995,8.89
5,2021-04-22,16533.0,18370.0,18664.0,16533.0,2100000.0,-10.0
6,2021-04-20,18370.0,18811.0,19178.0,18223.0,2130000.0,-1.96
7,2021-04-19,18737.0,18590.0,18811.0,18076.0,1520000.0,0.79
8,2021-04-16,18590.0,18590.0,18737.0,17194.0,3060000.0,0.0
9,2021-04-15,18590.0,19325.0,19325.0,18443.0,2650000.0,-2.69
10,2021-04-14,19104.0,18811.0,19251.0,18590.0,2020000.0,0.77
11,2021-04-13,18958.0,19766.0,20060.0,18884.0,3110000.0,-4.09
12,2021-04-12,19766.0,19325.0,19839.0,19104.0,3820000.0,2.2800000000000002
13,2021-04-09,19325.0,19178.0,19398.0,18958.0,1810000.0,0.77
14,2021-04-08,19178.0,19472.0,19839.0,19178.0,2360000.0,-1.51
15,2021-04-07,19472.0,18664.0,19839.0,18370.0,3969999.9999999995,5.16
16,2021-04-06,18517.0,18884.0,18958.0,18370.0,4030000.0000000005,-1.94
17,2021-04-05,18884.0,18370.0,19031.0,18370.0,3930000.0,2.8
18,2021-04-02,18370.0,18076.0,19104.0,18076.0,4840000.0,1.22
19,2021-04-01,18149.0,16606.0,18149.0,16533.0,7280000.0,9.77
20,2021-03-31,16533.0,16606.0,16753.0,16386.0,1150000.0,-0.44
21,2021-03-30,16606.0,16459.0,16606.0,16165.0,1980000.0,0.89
22,2021-03-29,16459.0,16459.0,16459.0,16092.0,1110000.0,0.9
23,2021-03-26,16312.0,15945.0,16386.0,14843.0,2190000.0,2.3
24,2021-03-25,15945.0,16312.0,16459.0,15798.0,1750000.0,-2.69
25,2021-03-24,16386.0,16680.0,16827.0,15431.0,3080000.0,-2.19
26,2021-03-23,16753.0,17047.0,17194.0,16533.0,1750000.0,-1.72
27,2021-03-22,17047.0,17121.0,17341.0,16974.0,1609999.9999999998,-0.43
28,2021-03-19,17121.0,16974.0,17488.0,16827.0,1940000.0,0.87
29,2021-03-18,16974.0,16900.0,17561.0,16753.0,1810000.0,1.76
30,2021-03-17,16680.0,16680.0,16974.0,16533.0,1770000.0,-0.44
31,2021-03-16,16753.0,17121.0,17121.0,16459.0,3160000.0,-1.72
32,2021-03-15,17047.0,17488.0,17488.0,17047.0,2100000.0,-2.11
33,2021-03-12,17414.0,17561.0,17708.0,17194.0,1760000.0,-0.42
34,2021-03-11,17488.0,17341.0,17929.0,17341.0,2930000.0,0.85
35,2021-03-10,17341.0,17414.0,17488.0,17047.0,2750000.0,-0.42
36,2021-03-09,17414.0,17929.0,18002.0,17194.0,2580000.0,-2.87
37,2021-03-08,17929.0,17561.0,18370.0,17268.0,3880000.0,2.52
38,2021-03-05,17488.0,16386.0,17635.0,16018.0,5290000.0,5.78
39,2021-03-04,16533.0,16974.0,17121.0,16092.0,3780000.0000000005,-2.6
40,2021-03-03,16974.0,16533.0,17194.0,16459.0,3130000.0,1.76
41,2021-03-02,16680.0,16827.0,17268.0,16459.0,2190000.0,0.0
42,2021-03-01,16680.0,16165.0,16900.0,16165.0,2610000.0,2.26
43,2021-02-26,16312.0,16606.0,16606.0,15063.0,1850000.0,-1.77
44,2021-02-25,16606.0,16165.0,16900.0,16018.0,2620000.0,2.73
45,2021-02-24,16165.0,15063.0,16459.0,14990.0,6220000.0,7.84
46,2021-02-23,14990.0,14328.0,15137.0,14181.0,2270000.0,4.62
47,2021-02-22,14328.0,14622.0,14843.0,14328.0,1080000.0,-2.01
48,2021-02-19,14622.0,14622.0,14843.0,14034.0,1410000.0,0.0
49,2021-02-18,14622.0,14916.0,15063.0,14475.0,1470000.0,-1.97
50,2021-02-17,14916.0,13520.0,14916.0,12565.0,1680000.0000000002,6.84
51,2021-02-09,13961.0,13300.0,14108.0,13153.0,1150000.0,3.82
52,2021-02-08,13447.0,14034.0,14622.0,12859.0,2290000.0,-4.18
53,2021-02-05,14034.0,13594.0,14328.0,13594.0,1550000.0,3.24
54,2021-02-04,13594.0,13520.0,14328.0,13153.0,2009999.9999999998,3.94
55,2021-02-03,13079.0,11977.0,13079.0,11977.0,2300000.0,9.87
56,2021-02-02,11904.0,11389.0,12124.0,11095.0,1150000.0,3.19
57,2021-02-01,11536.0,12785.0,13079.0,11536.0,1780000.0,-9.77
58,2021-01-29,12785.0,10875.0,12932.0,10875.0,2840000.0,6.09
59,2021-01-28,12051.0,12859.0,12859.0,12051.0,1290000.0,-9.89
60,2021-01-27,13373.0,14843.0,14843.0,13373.0,2240000.0,-9.9
61,2021-01-26,14843.0,16165.0,16239.0,14622.0,2290000.0,-8.6
62,2021-01-25,16239.0,16459.0,16680.0,15431.0,3230000.0,-1.78
63,2021-01-22,16533.0,16974.0,16974.0,16239.0,2370000.0,-2.6
64,2021-01-21,16974.0,16900.0,17635.0,16533.0,2490000.0,2.22
65,2021-01-20,16606.0,15871.0,16606.0,14328.0,3810000.0,5.61
66,2021-01-19,15724.0,17341.0,17635.0,15651.0,5740000.0,-9.32
67,2021-01-18,17341.0,17341.0,17929.0,17268.0,2719999.9999999995,-0.42
68,2021-01-15,17414.0,16459.0,17855.0,16459.0,3170000.0,5.8
69,2021-01-14,16459.0,15137.0,16459.0,14475.0,4420000.0,9.8
70,2021-01-13,14990.0,15063.0,15577.0,14843.0,2120000.0,0.0
71,2021-01-12,14990.0,14696.0,15137.0,13961.0,3110000.0,2.0
72,2021-01-11,14696.0,15431.0,15798.0,14622.0,4070000.0000000005,-4.76
73,2021-01-08,15431.0,15798.0,16165.0,14990.0,4300000.0,0.48
74,2021-01-07,15357.0,14696.0,15357.0,14696.0,4250000.0,10.0
75,2021-01-06,13961.0,12712.0,13961.0,12712.0,2260000.0,9.83
76,2021-01-05,12712.0,12785.0,13079.0,12565.0,4610000.0,0.59
77,2021-01-04,12638.0,12271.0,12859.0,12271.0,5790000.0,4.24
78,2020-12-31,12124.0,12271.0,12491.0,12051.0,1780000.0,0.61
79,2020-12-30,12051.0,12271.0,12344.0,11977.0,858890.0,-1.79
80,2020-12-29,12271.0,12271.0,12638.0,12124.0,992470.0,0.0
81,2020-12-28,12271.0,11977.0,12565.0,11904.0,1020000.0,1.83
82,2020-12-25,12051.0,11389.0,12124.0,11095.0,890470.0,6.5
83,2020-12-24,11316.0,11463.0,11610.0,10581.0,891880.0,-1.28
84,2020-12-23,11463.0,11830.0,12051.0,11242.0,939030.0,-2.5
85,2020-12-22,11757.0,11242.0,11830.0,11169.0,1470000.0,4.58
86,2020-12-21,11242.0,10361.0,11242.0,10287.0,1400000.0,9.28
87,2020-12-18,10287.0,9993.0,10507.0,9920.0,811720.0,2.94
88,2020-12-17,9993.0,10140.0,10140.0,9699.0,606440.0,-1.45
89,2020-12-16,10140.0,10214.0,10434.0,10140.0,655820.0,-0.72
90,2020-12-15,10214.0,10507.0,10507.0,10214.0,484590.0,-2.11
91,2020-12-14,10434.0,9993.0,10507.0,9993.0,1110000.0,5.18
92,2020-12-11,9920.0,9773.0,10067.0,9552.0,345030.0,2.2800000000000002
93,2020-12-10,9699.0,10140.0,10287.0,9699.0,418130.0,-4.35
94,2020-12-09,10140.0,9920.0,10287.0,9846.0,672260.0,2.99
95,2020-12-08,9846.0,9332.0,9920.0,9332.0,527910.0,5.51
96,2020-12-07,9332.0,9111.0,9552.0,8964.0,474700.0,0.8
97,2020-12-04,9258.0,9185.0,9405.0,9038.0,457170.0,0.0
98,2020-12-03,9258.0,8964.0,9258.0,8891.0,550970.0,3.2800000000000002
99,2020-12-02,8964.0,8670.0,9038.0,8524.0,697270.0,4.27
100,2020-12-01,8597.0,8303.0,8597.0,7568.0,619280.0,3.54
101,2020-11-30,8303.0,8230.0,8303.0,8230.0,179590.0,0.89
102,2020-11-27,8230.0,8230.0,8230.0,8156.0,110670.0,0.91
103,2020-11-26,8156.0,8230.0,8230.0,8156.0,70110.0,-0.9
104,2020-11-25,8230.0,8303.0,8303.0,8083.0,131740.0,-0.88
105,2020-11-24,8303.0,8230.0,8303.0,8083.0,119090.0,0.0
106,2020-11-23,8303.0,8303.0,8303.0,8083.0,190180.0,0.0
107,2020-11-20,8303.0,8450.0,8450.0,8303.0,93150.0,-1.74
