,datetime,close,open,high,low,KL,% change
0,2021-04-29,24909.0,24818.02,24909.01,24545.0,16100000.000000002,0.0
1,2021-04-28,24909.0,24818.02,25090.09,24364.0,18230000.0,0.74
2,2021-04-27,24727.0,24636.04,24727.03,24182.0,14940000.0,0.37
3,2021-04-26,24636.0,24545.05,25363.06,23818.0,23130000.0,0.37
4,2021-04-23,24545.0,25000.0,25090.09,23545.0,18400000.0,-2.5300000000000002
5,2021-04-22,25182.0,25000.0,25636.04,24727.0,32900000.0,0.73
6,2021-04-20,25000.0,24636.04,25000.0,24273.0,33490000.000000004,2.61
7,2021-04-19,24364.0,23545.05,24363.06,23364.0,32830000.0,3.88
8,2021-04-16,23455.0,23636.04,24000.0,22273.0,24600000.0,-0.77
9,2021-04-15,23636.0,23545.05,24000.0,23091.0,22960000.0,1.16
10,2021-04-14,23364.0,23090.09,23454.05,23000.0,19450000.0,1.18
11,2021-04-13,23091.0,23090.09,23727.03,22909.0,31430000.0,0.0
12,2021-04-12,23091.0,23090.09,23181.08,22818.0,14430000.0,0.4
13,2021-04-09,23000.0,22909.01,23090.09,22455.0,26170000.0,0.4
14,2021-04-08,22909.0,22727.03,23090.09,22545.0,19890000.0,0.8
15,2021-04-07,22727.0,22545.05,22818.02,22545.0,14280000.0,0.81
16,2021-04-06,22545.0,22090.09,22727.03,21000.0,27490000.0,2.06
17,2021-04-05,22091.0,24272.07,24454.05,22091.0,16129999.999999998,-10.0
18,2021-04-02,24545.0,24454.05,25909.01,23818.0,51180000.0,0.0
19,2021-04-01,24545.0,23363.06,25272.07,22091.0,33000000.0,5.05
20,2021-03-31,23364.0,21363.06,23454.05,20455.0,65650000.00000001,9.36
21,2021-03-30,21364.0,19363.06,21363.06,19364.0,49300000.0,9.81
22,2021-03-29,19455.0,17727.03,19454.05,17727.0,61360000.0,9.75
23,2021-03-26,17727.0,16181.08,17727.03,15545.0,87860000.0,9.55
24,2021-03-25,16182.0,16363.06,16636.04,16182.0,13800000.0,-1.11
25,2021-03-24,16364.0,17000.0,17090.09,15909.0,28280000.0,-4.25
26,2021-03-23,17091.0,17454.05,18000.0,16636.0,40420000.0,-2.09
27,2021-03-22,17455.0,17818.02,18272.07,17455.0,27440000.0,-2.04
28,2021-03-19,17818.0,17727.03,17909.01,17182.0,34080000.0,0.51
29,2021-03-18,17727.0,17090.09,18272.07,17091.0,68720000.0,3.17
30,2021-03-17,17182.0,16818.02,17272.07,16818.0,49460000.0,1.07
31,2021-03-16,17000.0,16181.08,17090.09,15909.0,69590000.0,5.05
32,2021-03-15,16182.0,16181.08,16727.03,16091.0,45450000.0,0.57
33,2021-03-12,16091.0,15727.03,16272.07,15545.0,54030000.0,2.31
34,2021-03-11,15727.0,15000.0,15818.02,14818.0,63980000.0,6.13
35,2021-03-10,14818.0,14272.07,14818.02,14182.0,31780000.0,3.82
36,2021-03-09,14273.0,14454.05,14454.05,14182.0,16690000.000000002,-0.63
37,2021-03-08,14364.0,14454.05,14636.04,14364.0,17710000.0,0.0
38,2021-03-05,14364.0,14363.06,14545.05,14091.0,22170000.0,0.0
39,2021-03-04,14364.0,14636.04,14727.03,14182.0,29650000.0,-1.8599999999999999
40,2021-03-03,14636.0,14636.04,14727.03,14455.0,20820000.0,0.0
41,2021-03-02,14636.0,14818.02,15000.0,14545.0,25740000.0,-0.62
42,2021-03-01,14727.0,14454.05,14727.03,14364.0,28040000.0,1.88
43,2021-02-26,14455.0,14363.06,14454.05,14091.0,31530000.0,0.0
44,2021-02-25,14455.0,14545.05,14727.03,14182.0,27490000.0,-0.62
45,2021-02-24,14545.0,14818.02,15000.0,14273.0,25690000.0,-1.8399999999999999
46,2021-02-23,14818.0,14272.07,14818.02,14273.0,34180000.0,3.82
47,2021-02-22,14273.0,14545.05,14636.04,14273.0,18110000.0,-1.26
48,2021-02-19,14455.0,14272.07,14636.04,14091.0,23800000.0,0.63
49,2021-02-18,14364.0,14818.02,14818.02,14273.0,20950000.0,-1.8599999999999999
50,2021-02-17,14636.0,14181.08,14636.04,14182.0,21460000.0,3.87
51,2021-02-09,14091.0,13636.04,14272.07,13455.0,13830000.0,2.65
52,2021-02-08,13727.0,14545.05,14818.02,13455.0,28340000.0,-6.21
53,2021-02-05,14636.0,14000.0,14636.04,13818.0,32360000.0,4.54
54,2021-02-04,14000.0,14181.08,14272.07,13727.0,17290000.0,-0.65
55,2021-02-03,14091.0,13363.06,14363.06,13364.0,28780000.0,5.44
56,2021-02-02,13364.0,12090.09,13454.05,12000.0,34800000.0,8.89
57,2021-02-01,12273.0,13181.08,13454.05,12273.0,21780000.0,-7.53
58,2021-01-29,13273.0,11545.05,13545.05,11545.0,35560000.0,3.55
59,2021-01-28,12818.0,14000.0,14090.09,12818.0,27320000.0,-9.62
60,2021-01-27,14182.0,14909.01,15000.0,14000.0,25510000.0,-4.88
61,2021-01-26,14909.0,15181.08,15272.07,13818.0,49500000.0,-1.8
62,2021-01-25,15182.0,15818.02,15818.02,15182.0,26490000.0,-4.02
63,2021-01-22,15818.0,16181.08,16272.07,15636.0,24940000.0,-2.25
64,2021-01-21,16182.0,16090.09,16454.05,15727.0,24270000.0,0.57
65,2021-01-20,16091.0,15454.05,16181.08,14000.0,47700000.0,4.73
66,2021-01-19,15364.0,16909.01,17000.0,15273.0,58430000.0,-9.14
67,2021-01-18,16909.0,17727.03,17727.03,16818.0,41260000.0,-3.13
68,2021-01-15,17455.0,17454.05,17818.02,17273.0,65120000.00000001,0.52
69,2021-01-14,17364.0,17454.05,17727.03,17182.0,27230000.0,0.0
70,2021-01-13,17364.0,17272.07,18000.0,16818.0,72340000.0,1.6
71,2021-01-12,17091.0,17181.08,17272.07,16636.0,38150000.0,0.0
72,2021-01-11,17091.0,17363.06,17636.04,17091.0,25690000.0,-1.5699999999999998
73,2021-01-08,17364.0,17363.06,17727.03,17182.0,31500000.0,-0.52
74,2021-01-07,17455.0,16181.08,17636.04,16182.0,47800000.0,7.87
75,2021-01-06,16182.0,16090.09,16545.05,16000.0,21300000.0,0.57
76,2021-01-05,16091.0,15636.04,16636.04,15545.0,24270000.0,2.91
77,2021-01-04,15636.0,15545.05,15727.03,15455.0,13730000.0,1.17
78,2020-12-31,15455.0,15454.05,15727.03,15455.0,6980000.0,0.0
79,2020-12-30,15455.0,15636.04,15818.02,15364.0,11070000.0,-1.16
80,2020-12-29,15636.0,15818.02,15909.01,15455.0,8540000.0,-1.15
81,2020-12-28,15818.0,15818.02,16363.06,15636.0,7670000.0,0.0
82,2020-12-25,15818.0,15727.03,16000.0,15545.0,9710000.0,0.58
83,2020-12-24,15727.0,16181.08,16363.06,15455.0,10180000.0,-3.89
84,2020-12-23,16364.0,16545.05,16545.05,15909.0,12040000.0,-1.09
85,2020-12-22,16545.0,16181.08,16818.02,16182.0,16290000.0,1.67
86,2020-12-21,16273.0,15727.03,16363.06,15727.0,13970000.0,3.4699999999999998
87,2020-12-18,15727.0,15545.05,15818.02,15545.0,5550000.0,1.17
