,datetime,close,open,high,low,KL,% change
0,2021-04-29,32000.0,33000.0,33300.0,31800.0,635580.0,-1.8399999999999999
1,2021-04-28,32600.0,33700.0,33700.0,32200.0,406690.0,-3.26
2,2021-04-27,33700.0,34000.0,34100.0,33200.0,220490.0,-0.88
3,2021-04-26,34000.0,34000.0,34700.0,33700.0,347630.0,-1.45
4,2021-04-23,34500.0,34200.0,34600.0,33000.0,737180.0,2.68
5,2021-04-22,33600.0,35800.0,35900.0,33100.0,676390.0,-6.15
6,2021-04-20,35800.0,36400.0,36600.0,35600.0,453790.0,-1.1
7,2021-04-19,36200.0,37000.0,37500.0,36000.0,479740.0,-2.69
8,2021-04-16,37200.0,38000.0,38000.0,36000.0,744050.0,-1.5899999999999999
9,2021-04-15,37800.0,38600.0,38700.0,37700.0,359200.0,-1.8199999999999998
10,2021-04-14,38500.0,38100.0,38600.0,37600.0,579780.0,1.05
11,2021-04-13,38100.0,39300.0,39300.0,38000.0,1060000.0,-3.05
12,2021-04-12,39300.0,39500.0,39800.0,39100.0,624720.0,-0.51
13,2021-04-09,39500.0,39900.0,39900.0,39400.0,336910.0,-0.75
14,2021-04-08,39800.0,39500.0,40700.0,39200.0,545720.0,1.02
15,2021-04-07,39400.0,39700.0,40000.0,39000.0,511860.0,-1.01
16,2021-04-06,39800.0,40200.0,40300.0,39500.0,490000.0,-1.24
17,2021-04-05,40300.0,40800.0,40800.0,39900.0,630270.0,-0.49
18,2021-04-02,40500.0,40300.0,41200.0,40200.0,469540.0,0.5
19,2021-04-01,40300.0,38900.0,40800.0,38800.0,667260.0,3.6
20,2021-03-31,38900.0,39100.0,39200.0,38500.0,579860.0,-0.26
21,2021-03-30,39000.0,39300.0,39500.0,38900.0,375500.0,-0.76
22,2021-03-29,39300.0,39000.0,39700.0,38600.0,448040.0,-0.51
23,2021-03-26,39500.0,39800.0,39800.0,37100.0,1100000.0,-0.25
24,2021-03-25,39600.0,40100.0,40800.0,39300.0,782050.0,-3.18
25,2021-03-24,40900.0,42700.0,42700.0,39000.0,1710000.0,-4.22
26,2021-03-23,42700.0,43400.0,43500.0,42300.0,668050.0,-1.6099999999999999
27,2021-03-22,43400.0,43800.0,43900.0,43400.0,686370.0,-0.23
28,2021-03-19,43500.0,43200.0,44000.0,43000.0,1050000.0,0.23
29,2021-03-18,43400.0,43600.0,43700.0,42700.0,483530.0,-0.23
30,2021-03-17,43500.0,43100.0,43700.0,42300.0,672580.0,0.93
31,2021-03-16,43100.0,44000.0,44200.0,42500.0,1250000.0,-2.05
32,2021-03-15,44000.0,43800.0,44900.0,43800.0,786400.0,0.92
33,2021-03-12,43600.0,44000.0,44200.0,43300.0,679200.0,-0.91
34,2021-03-11,44000.0,43500.0,44000.0,43100.0,980090.0,1.62
35,2021-03-10,43300.0,42700.0,44100.0,42600.0,1030000.0,1.6400000000000001
36,2021-03-09,42600.0,43700.0,43800.0,42100.0,1070000.0,-2.07
37,2021-03-08,43500.0,43600.0,45000.0,43300.0,921530.0,0.0
38,2021-03-05,43500.0,43500.0,43900.0,42500.0,1270000.0,0.0
