"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","10,800.0","11,200.0","11,200.0","10,700.0","735.80K","-1.82%"
"28/04/2021","11,000.0","10,900.0","11,000.0","10,600.0","785.22K","0.00%"
"27/04/2021","11,000.0","11,000.0","11,100.0","10,800.0","370.05K","-0.90%"
"26/04/2021","11,100.0","11,200.0","11,600.0","10,900.0","729.82K","-3.48%"
"23/04/2021","11,500.0","11,100.0","11,500.0","10,400.0","643.56K","3.60%"
"22/04/2021","11,100.0","11,600.0","11,800.0","11,100.0","733.30K","-4.31%"
"20/04/2021","11,600.0","11,700.0","11,900.0","11,500.0","726.25K","-0.85%"
"19/04/2021","11,700.0","12,000.0","12,000.0","11,500.0","711.39K","-2.50%"
"16/04/2021","12,000.0","12,000.0","12,200.0","11,600.0","1.41M","-1.64%"
"15/04/2021","12,200.0","12,900.0","13,000.0","12,200.0","1.26M","-3.94%"
"14/04/2021","12,700.0","12,500.0","12,800.0","12,300.0","959.58K","1.60%"
"13/04/2021","12,500.0","13,100.0","13,200.0","12,500.0","1.76M","-3.85%"
"12/04/2021","13,000.0","12,900.0","13,200.0","12,700.0","1.66M","0.78%"
"09/04/2021","12,900.0","12,900.0","13,100.0","12,700.0","998.82K","-0.77%"
"08/04/2021","13,000.0","12,900.0","13,400.0","12,600.0","2.09M","1.56%"
"07/04/2021","12,800.0","11,700.0","12,800.0","11,700.0","3.07M","9.40%"
"06/04/2021","11,700.0","12,000.0","12,000.0","11,700.0","1.41M","-2.50%"
"05/04/2021","12,000.0","12,200.0","12,400.0","11,900.0","1.05M","-1.64%"
"02/04/2021","12,200.0","12,400.0","12,600.0","12,100.0","1.20M","-1.61%"
"01/04/2021","12,400.0","11,600.0","12,400.0","11,500.0","2.07M","6.90%"
"31/03/2021","11,600.0","11,800.0","11,800.0","11,400.0","1.32M","-1.69%"
"30/03/2021","11,800.0","11,900.0","12,000.0","11,600.0","1.07M","-0.84%"
"29/03/2021","11,900.0","12,100.0","12,200.0","11,600.0","980.79K","-0.83%"
"26/03/2021","12,000.0","11,700.0","12,000.0","10,700.0","1.48M","2.56%"
"25/03/2021","11,700.0","12,300.0","12,600.0","11,700.0","1.31M","-4.88%"
"24/03/2021","12,300.0","11,900.0","12,600.0","11,700.0","3.37M","3.36%"
"23/03/2021","11,900.0","11,700.0","12,300.0","11,600.0","2.00M","1.71%"
"22/03/2021","11,700.0","11,800.0","12,000.0","11,600.0","1.18M","-0.85%"
"19/03/2021","11,800.0","11,200.0","12,000.0","10,900.0","2.40M","5.36%"
"18/03/2021","11,200.0","11,100.0","11,300.0","10,900.0","757.36K","0.90%"
"17/03/2021","11,100.0","11,000.0","11,600.0","10,800.0","1.58M","0.91%"
"16/03/2021","11,000.0","11,300.0","11,300.0","10,800.0","1.56M","-2.65%"
"15/03/2021","11,300.0","11,400.0","11,400.0","10,800.0","1.13M","0.00%"
