"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","7,200.00","7,100.00","7,500.00","7,100.00","11.80K","-4.00%"
"28/04/2021","7,500.00","7,200.00","7,500.00","7,100.00","106.60K","4.17%"
"27/04/2021","7,200.00","7,200.00","7,200.00","6,800.00","25.22K","0.00%"
"26/04/2021","7,200.00","7,300.00","7,500.00","7,200.00","148.23K","-8.86%"
"23/04/2021","7,900.00","7,500.00","7,900.00","7,100.00","34.70K","2.60%"
"22/04/2021","7,700.00","8,200.00","8,200.00","7,500.00","62.41K","-6.10%"
"20/04/2021","8,200.00","8,200.00","8,600.00","7,800.00","65.10K","0.00%"
"19/04/2021","8,200.00","8,000.00","8,200.00","7,700.00","173.12K","2.50%"
"16/04/2021","8,000.00","8,300.00","8,500.00","7,900.00","234.30K","-8.05%"
"15/04/2021","8,700.00","8,800.00","8,900.00","8,400.00","66.30K","-1.14%"
"14/04/2021","8,800.00","8,600.00","8,900.00","8,300.00","152.57K","1.15%"
"13/04/2021","8,700.00","9,000.00","9,300.00","8,500.00","214.13K","-2.25%"
"12/04/2021","8,900.00","8,500.00","8,900.00","8,300.00","144.86K","4.71%"
"09/04/2021","8,500.00","8,600.00","8,600.00","8,300.00","118.83K","-2.30%"
"08/04/2021","8,700.00","8,700.00","9,200.00","8,500.00","167.30K","1.16%"
"07/04/2021","8,600.00","7,800.00","8,600.00","7,600.00","263.36K","8.86%"
"06/04/2021","7,900.00","7,700.00","8,300.00","7,200.00","343.65K","-1.25%"
"05/04/2021","8,000.00","7,700.00","8,100.00","7,400.00","260.83K","8.11%"
"02/04/2021","7,400.00","7,400.00","7,400.00","7,200.00","341.08K","8.82%"
"01/04/2021","6,800.00","6,300.00","6,800.00","6,200.00","444.32K","9.68%"
"31/03/2021","6,200.00","6,600.00","6,600.00","6,100.00","91.85K","3.33%"
"30/03/2021","6,000.00","5,900.00","6,000.00","5,800.00","54.50K","1.69%"
"29/03/2021","5,900.00","5,800.00","5,900.00","5,700.00","33.00K","1.72%"
"26/03/2021","5,800.00","5,800.00","5,800.00","5,400.00","39.30K","0.00%"
"25/03/2021","5,800.00","5,900.00","6,000.00","5,800.00","47.00K","-1.69%"
"24/03/2021","5,900.00","5,900.00","5,900.00","5,700.00","24.70K","0.00%"
"23/03/2021","5,900.00","5,900.00","5,900.00","5,800.00","44.48K","-1.67%"
"22/03/2021","6,000.00","5,900.00","6,000.00","5,900.00","45.10K","0.00%"
"19/03/2021","6,000.00","5,900.00","6,100.00","5,900.00","40.23K","1.69%"
"18/03/2021","5,900.00","5,900.00","5,900.00","5,800.00","56.60K","0.00%"
"17/03/2021","5,900.00","5,900.00","5,900.00","5,800.00","30.80K","0.00%"
"16/03/2021","5,900.00","6,000.00","6,000.00","5,900.00","55.50K","-1.67%"
"15/03/2021","6,000.00","6,000.00","6,200.00","5,900.00","63.70K","0.00%"
"12/03/2021","6,000.00","6,100.00","6,100.00","6,000.00","70.90K","-1.64%"
"11/03/2021","6,100.00","6,200.00","6,200.00","6,000.00","101.14K","-1.61%"
"10/03/2021","6,200.00","6,000.00","6,200.00","5,900.00","60.90K","3.33%"
"09/03/2021","6,000.00","6,200.00","6,500.00","5,900.00","100.40K","-7.69%"
"08/03/2021","6,500.00","6,000.00","6,700.00","5,800.00","97.75K","6.56%"
"05/03/2021","6,100.00","6,200.00","6,600.00","6,000.00","128.00K","-1.61%"
"04/03/2021","6,200.00","6,100.00","6,200.00","5,700.00","154.50K","8.77%"
"03/03/2021","5,700.00","5,300.00","5,700.00","5,300.00","145.22K","9.62%"
"02/03/2021","5,200.00","4,900.00","5,200.00","4,900.00","150.62K","8.33%"
