"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","17,194.0","16,900.0","17,194.0","16,827.0","1.17M","1.74%"
"28/04/2021","16,900.0","16,753.0","17,194.0","16,753.0","828.70K","0.88%"
"27/04/2021","16,753.0","16,974.0","17,268.0","16,459.0","873.48K","-1.30%"
"26/04/2021","16,974.0","18,002.0","18,002.0","16,900.0","1.59M","-5.71%"
"23/04/2021","18,002.0","16,533.0","18,002.0","14,990.0","2.47M","8.89%"
"22/04/2021","16,533.0","18,370.0","18,664.0","16,533.0","2.10M","-10.00%"
"20/04/2021","18,370.0","18,811.0","19,178.0","18,223.0","2.13M","-1.96%"
"19/04/2021","18,737.0","18,590.0","18,811.0","18,076.0","1.52M","0.79%"
"16/04/2021","18,590.0","18,590.0","18,737.0","17,194.0","3.06M","0.00%"
"15/04/2021","18,590.0","19,325.0","19,325.0","18,443.0","2.65M","-2.69%"
"14/04/2021","19,104.0","18,811.0","19,251.0","18,590.0","2.02M","0.77%"
"13/04/2021","18,958.0","19,766.0","20,060.0","18,884.0","3.11M","-4.09%"
"12/04/2021","19,766.0","19,325.0","19,839.0","19,104.0","3.82M","2.28%"
"09/04/2021","19,325.0","19,178.0","19,398.0","18,958.0","1.81M","0.77%"
"08/04/2021","19,178.0","19,472.0","19,839.0","19,178.0","2.36M","-1.51%"
"07/04/2021","19,472.0","18,664.0","19,839.0","18,370.0","3.97M","5.16%"
"06/04/2021","18,517.0","18,884.0","18,958.0","18,370.0","4.03M","-1.94%"
"05/04/2021","18,884.0","18,370.0","19,031.0","18,370.0","3.93M","2.80%"
"02/04/2021","18,370.0","18,076.0","19,104.0","18,076.0","4.84M","1.22%"
"01/04/2021","18,149.0","16,606.0","18,149.0","16,533.0","7.28M","9.77%"
"31/03/2021","16,533.0","16,606.0","16,753.0","16,386.0","1.15M","-0.44%"
"30/03/2021","16,606.0","16,459.0","16,606.0","16,165.0","1.98M","0.89%"
"29/03/2021","16,459.0","16,459.0","16,459.0","16,092.0","1.11M","0.90%"
