"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","35,800.0","35,500.0","35,800.0","35,500.0","14.42K","1.70%"
"28/04/2021","35,200.0","36,200.0","36,200.0","35,000.0","21.69K","-2.76%"
"27/04/2021","36,200.0","35,000.0","36,400.0","34,800.0","152.70K","3.43%"
"26/04/2021","35,000.0","35,500.0","35,500.0","35,000.0","38.46K","-0.28%"
"23/04/2021","35,100.0","35,500.0","35,500.0","35,000.0","47.84K","-0.85%"
"22/04/2021","35,400.0","35,700.0","35,800.0","35,000.0","28.33K","2.31%"
"20/04/2021","34,600.0","34,700.0","35,000.0","34,600.0","43.62K","-0.29%"
"19/04/2021","34,700.0","35,000.0","35,200.0","34,500.0","12.31K","-0.29%"
"16/04/2021","34,800.0","35,600.0","35,600.0","34,800.0","20.14K","-1.97%"
"15/04/2021","35,500.0","35,700.0","35,700.0","35,500.0","17.93K","-0.28%"
"14/04/2021","35,600.0","35,400.0","35,900.0","35,400.0","54.90K","0.00%"
"13/04/2021","35,600.0","35,900.0","35,900.0","35,500.0","88.96K","-0.84%"
"12/04/2021","35,900.0","36,200.0","36,200.0","35,900.0","37.42K","-0.83%"
"09/04/2021","36,200.0","36,300.0","36,300.0","36,100.0","47.40K","0.00%"
"08/04/2021","36,200.0","36,500.0","36,500.0","36,100.0","10.73K","-0.55%"
"07/04/2021","36,400.0","36,200.0","36,500.0","36,000.0","51.28K","0.55%"
"06/04/2021","36,200.0","36,400.0","36,400.0","36,100.0","38.44K","-0.28%"
"05/04/2021","36,300.0","36,300.0","36,300.0","36,000.0","21.61K","0.00%"
"02/04/2021","36,300.0","36,200.0","36,400.0","36,100.0","17.40K","0.28%"
"01/04/2021","36,200.0","36,000.0","36,500.0","35,900.0","44.63K","0.56%"
"31/03/2021","36,000.0","36,300.0","36,500.0","35,900.0","38.55K","0.00%"
"30/03/2021","36,000.0","36,500.0","36,600.0","36,000.0","18.13K","-0.83%"
"29/03/2021","36,300.0","36,300.0","36,300.0","35,900.0","13.93K","0.83%"
"26/03/2021","36,000.0","35,700.0","36,000.0","35,600.0","42.40K","0.84%"
"25/03/2021","35,700.0","35,900.0","35,900.0","35,700.0","24.97K","-0.56%"
"24/03/2021","35,900.0","36,000.0","36,100.0","35,700.0","121.04K","-0.83%"
"23/03/2021","36,200.0","36,300.0","36,400.0","36,100.0","54.70K","-0.28%"
"22/03/2021","36,300.0","36,400.0","36,400.0","36,100.0","38.62K","-0.27%"
"19/03/2021","36,400.0","36,300.0","36,400.0","36,100.0","20.11K","0.28%"
"18/03/2021","36,300.0","36,300.0","36,400.0","36,000.0","50.40K","0.28%"
"17/03/2021","36,200.0","36,300.0","36,400.0","36,000.0","49.04K","-0.28%"
"16/03/2021","36,300.0","36,600.0","36,600.0","36,200.0","40.74K","-0.55%"
"15/03/2021","36,500.0","36,600.0","36,800.0","36,500.0","56.36K","-0.27%"
"12/03/2021","36,600.0","37,000.0","37,000.0","36,500.0","31.57K","-1.08%"
"11/03/2021","37,000.0","36,700.0","37,000.0","36,500.0","40.90K","0.82%"
"10/03/2021","36,700.0","37,100.0","37,100.0","36,400.0","76.61K","-1.08%"
"09/03/2021","37,100.0","37,300.0","37,300.0","36,800.0","38.34K","-0.54%"
"08/03/2021","37,300.0","37,300.0","38,200.0","37,300.0","82.49K","0.00%"
"05/03/2021","37,300.0","36,700.0","37,400.0","36,400.0","155.61K","2.75%"
"04/03/2021","36,300.0","36,200.0","36,500.0","35,800.0","63.70K","0.83%"
"03/03/2021","36,000.0","36,100.0","36,100.0","35,800.0","22.65K","-0.28%"
"02/03/2021","36,100.0","36,000.0","36,100.0","35,700.0","46.02K","0.84%"
"01/03/2021","35,800.0","36,400.0","36,400.0","35,700.0","31.41K","0.00%"
"26/02/2021","35,800.0","35,200.0","35,800.0","35,200.0","14.02K","0.56%"
"25/02/2021","35,600.0","35,900.0","35,900.0","35,500.0","8.80K","-0.84%"
