"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","20,100.0","20,100.0","20,500.0","20,000.0","3.53M","1.01%"
"28/04/2021","19,900.0","19,500.0","20,300.0","19,400.0","4.63M","2.58%"
"27/04/2021","19,400.0","19,600.0","20,000.0","19,000.0","4.92M","0.00%"
"26/04/2021","19,400.0","21,200.0","21,500.0","19,400.0","11.42M","-8.49%"
"23/04/2021","21,200.0","20,900.0","21,400.0","20,400.0","9.09M","1.44%"
"22/04/2021","20,900.0","23,300.0","23,300.0","20,900.0","15.59M","-9.91%"
"20/04/2021","23,200.0","23,300.0","23,900.0","23,200.0","8.55M","-0.43%"
"19/04/2021","23,300.0","23,400.0","23,400.0","22,800.0","4.61M","-0.43%"
"16/04/2021","23,400.0","23,600.0","23,800.0","22,800.0","8.54M","-0.85%"
"15/04/2021","23,600.0","23,900.0","24,500.0","23,500.0","10.52M","0.00%"
"14/04/2021","23,600.0","23,100.0","23,800.0","22,700.0","8.51M","2.16%"
"13/04/2021","23,100.0","23,900.0","24,000.0","23,000.0","11.33M","-2.12%"
"12/04/2021","23,600.0","23,800.0","24,000.0","23,400.0","9.68M","-0.84%"
"09/04/2021","23,800.0","24,000.0","24,500.0","23,700.0","13.30M","-0.83%"
"08/04/2021","24,000.0","24,000.0","24,600.0","23,600.0","12.04M","0.00%"
"07/04/2021","24,000.0","24,500.0","24,600.0","23,800.0","13.88M","-1.23%"
"06/04/2021","24,300.0","23,300.0","24,300.0","22,800.0","14.55M","3.85%"
"05/04/2021","23,400.0","23,600.0","23,700.0","23,200.0","7.39M","-0.85%"
"02/04/2021","23,600.0","23,900.0","24,300.0","23,500.0","7.87M","-0.42%"
"01/04/2021","23,700.0","23,000.0","23,800.0","22,900.0","11.87M","3.04%"
"31/03/2021","23,000.0","22,800.0","23,200.0","22,500.0","8.54M","0.88%"
"30/03/2021","22,800.0","22,700.0","23,200.0","22,400.0","7.64M","1.33%"
"29/03/2021","22,500.0","22,900.0","23,300.0","22,300.0","6.92M","-0.88%"
"26/03/2021","22,700.0","22,200.0","23,000.0","20,600.0","12.04M","2.25%"
"25/03/2021","22,200.0","22,700.0","23,200.0","22,200.0","6.94M","-2.20%"
"24/03/2021","22,700.0","23,000.0","23,000.0","21,700.0","19.52M","-2.99%"
"23/03/2021","23,400.0","23,800.0","23,800.0","23,200.0","8.14M","-1.68%"
"22/03/2021","23,800.0","24,000.0","24,300.0","23,700.0","7.31M","-0.42%"
"19/03/2021","23,900.0","23,500.0","24,000.0","22,800.0","17.88M","-1.24%"
"18/03/2021","24,200.0","24,600.0","24,800.0","24,100.0","7.55M","-1.63%"
"17/03/2021","24,600.0","24,100.0","24,600.0","23,500.0","13.15M","3.80%"
"16/03/2021","23,700.0","23,900.0","24,100.0","23,500.0","11.35M","-1.66%"
"15/03/2021","24,100.0","24,300.0","24,500.0","24,000.0","8.58M","-0.41%"
"12/03/2021","24,200.0","24,600.0","25,000.0","24,100.0","8.29M","-0.82%"
"11/03/2021","24,400.0","24,000.0","24,500.0","24,000.0","7.45M","2.52%"
"10/03/2021","23,800.0","24,100.0","24,200.0","23,400.0","15.10M","-0.83%"
"09/03/2021","24,000.0","25,000.0","25,000.0","23,800.0","18.72M","-4.76%"
"08/03/2021","25,200.0","24,900.0","26,500.0","24,900.0","14.04M","1.20%"
"05/03/2021","24,900.0","24,600.0","25,500.0","24,600.0","17.92M","1.22%"
"04/03/2021","24,600.0","23,000.0","24,900.0","22,100.0","27.04M","8.37%"
"03/03/2021","22,700.0","22,700.0","22,900.0","22,400.0","8.07M","-0.44%"
"02/03/2021","22,800.0","23,400.0","23,400.0","22,700.0","16.64M","-2.15%"
"01/03/2021","23,300.0","23,000.0","23,300.0","22,200.0","16.24M","3.56%"
"26/02/2021","22,500.0","22,500.0","22,600.0","21,800.0","11.91M","0.00%"
"25/02/2021","22,500.0","22,100.0","22,900.0","22,000.0","13.61M","3.21%"
"24/02/2021","21,800.0","22,600.0","22,600.0","21,500.0","15.20M","-3.54%"
"23/02/2021","22,600.0","22,100.0","23,700.0","22,100.0","15.55M","4.15%"
"22/02/2021","21,700.0","21,100.0","21,800.0","21,000.0","14.76M","2.84%"
"19/02/2021","21,100.0","21,800.0","22,100.0","20,800.0","14.96M","-3.21%"
"18/02/2021","21,800.0","21,000.0","22,600.0","21,000.0","26.45M","5.83%"
"17/02/2021","20,600.0","20,000.0","20,600.0","19,100.0","11.25M","9.57%"
"09/02/2021","18,800.0","18,200.0","18,900.0","18,200.0","7.25M","3.30%"
"08/02/2021","18,200.0","18,400.0","19,300.0","17,700.0","15.19M","-1.09%"
"05/02/2021","18,400.0","18,300.0","19,000.0","18,300.0","6.00M","0.55%"
"04/02/2021","18,300.0","18,400.0","18,900.0","18,200.0","7.82M","1.67%"
"03/02/2021","18,000.0","16,600.0","18,000.0","16,500.0","11.74M","9.76%"
"02/02/2021","16,400.0","15,400.0","16,500.0","15,400.0","11.31M","5.13%"
"01/02/2021","15,600.0","16,600.0","16,700.0","15,300.0","5.61M","-6.02%"
