"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","24,909.0","24,818.2","24,909.1","24,545.0","16.10M","0.00%"
"28/04/2021","24,909.0","24,818.2","25,090.9","24,364.0","18.23M","0.74%"
"27/04/2021","24,727.0","24,636.4","24,727.3","24,182.0","14.94M","0.37%"
"26/04/2021","24,636.0","24,545.5","25,363.6","23,818.0","23.13M","0.37%"
"23/04/2021","24,545.0","25,000.0","25,090.9","23,545.0","18.40M","-2.53%"
"22/04/2021","25,182.0","25,000.0","25,636.4","24,727.0","32.90M","0.73%"
"20/04/2021","25,000.0","24,636.4","25,000.0","24,273.0","33.49M","2.61%"
"19/04/2021","24,364.0","23,545.5","24,363.6","23,364.0","32.83M","3.88%"
"16/04/2021","23,455.0","23,636.4","24,000.0","22,273.0","24.60M","-0.77%"
"15/04/2021","23,636.0","23,545.5","24,000.0","23,091.0","22.96M","1.16%"
"14/04/2021","23,364.0","23,090.9","23,454.5","23,000.0","19.45M","1.18%"
"13/04/2021","23,091.0","23,090.9","23,727.3","22,909.0","31.43M","0.00%"
"12/04/2021","23,091.0","23,090.9","23,181.8","22,818.0","14.43M","0.40%"
"09/04/2021","23,000.0","22,909.1","23,090.9","22,455.0","26.17M","0.40%"
"08/04/2021","22,909.0","22,727.3","23,090.9","22,545.0","19.89M","0.80%"
"07/04/2021","22,727.0","22,545.5","22,818.2","22,545.0","14.28M","0.81%"
"06/04/2021","22,545.0","22,090.9","22,727.3","21,000.0","27.49M","2.06%"
"05/04/2021","22,091.0","24,272.7","24,454.5","22,091.0","16.13M","-10.00%"
"02/04/2021","24,545.0","24,454.5","25,909.1","23,818.0","51.18M","0.00%"
"01/04/2021","24,545.0","23,363.6","25,272.7","22,091.0","33.00M","5.05%"
"31/03/2021","23,364.0","21,363.6","23,454.5","20,455.0","65.65M","9.36%"
"30/03/2021","21,364.0","19,363.6","21,363.6","19,364.0","49.30M","9.81%"
"29/03/2021","19,455.0","17,727.3","19,454.5","17,727.0","61.36M","9.75%"
"26/03/2021","17,727.0","16,181.8","17,727.3","15,545.0","87.86M","9.55%"
"25/03/2021","16,182.0","16,363.6","16,636.4","16,182.0","13.80M","-1.11%"
"24/03/2021","16,364.0","17,000.0","17,090.9","15,909.0","28.28M","-4.25%"
"23/03/2021","17,091.0","17,454.5","18,000.0","16,636.0","40.42M","-2.09%"
"22/03/2021","17,455.0","17,818.2","18,272.7","17,455.0","27.44M","-2.04%"
"19/03/2021","17,818.0","17,727.3","17,909.1","17,182.0","34.08M","0.51%"
"18/03/2021","17,727.0","17,090.9","18,272.7","17,091.0","68.72M","3.17%"
"17/03/2021","17,182.0","16,818.2","17,272.7","16,818.0","49.46M","1.07%"
"16/03/2021","17,000.0","16,181.8","17,090.9","15,909.0","69.59M","5.05%"
"15/03/2021","16,182.0","16,181.8","16,727.3","16,091.0","45.45M","0.57%"
"12/03/2021","16,091.0","15,727.3","16,272.7","15,545.0","54.03M","2.31%"
"11/03/2021","15,727.0","15,000.0","15,818.2","14,818.0","63.98M","6.13%"
"10/03/2021","14,818.0","14,272.7","14,818.2","14,182.0","31.78M","3.82%"
"09/03/2021","14,273.0","14,454.5","14,454.5","14,182.0","16.69M","-0.63%"
"08/03/2021","14,364.0","14,454.5","14,636.4","14,364.0","17.71M","0.00%"
"05/03/2021","14,364.0","14,363.6","14,545.5","14,091.0","22.17M","0.00%"
"04/03/2021","14,364.0","14,636.4","14,727.3","14,182.0","29.65M","-1.86%"
"03/03/2021","14,636.0","14,636.4","14,727.3","14,455.0","20.82M","0.00%"
"02/03/2021","14,636.0","14,818.2","15,000.0","14,545.0","25.74M","-0.62%"
"01/03/2021","14,727.0","14,454.5","14,727.3","14,364.0","28.04M","1.88%"
"26/02/2021","14,455.0","14,363.6","14,454.5","14,091.0","31.53M","0.00%"
"25/02/2021","14,455.0","14,545.5","14,727.3","14,182.0","27.49M","-0.62%"
"24/02/2021","14,545.0","14,818.2","15,000.0","14,273.0","25.69M","-1.84%"
"23/02/2021","14,818.0","14,272.7","14,818.2","14,273.0","34.18M","3.82%"
"22/02/2021","14,273.0","14,545.5","14,636.4","14,273.0","18.11M","-1.26%"
"19/02/2021","14,455.0","14,272.7","14,636.4","14,091.0","23.80M","0.63%"
"18/02/2021","14,364.0","14,818.2","14,818.2","14,273.0","20.95M","-1.86%"
"17/02/2021","14,636.0","14,181.8","14,636.4","14,182.0","21.46M","3.87%"
"09/02/2021","14,091.0","13,636.4","14,272.7","13,455.0","13.83M","2.65%"
"08/02/2021","13,727.0","14,545.5","14,818.2","13,455.0","28.34M","-6.21%"
"05/02/2021","14,636.0","14,000.0","14,636.4","13,818.0","32.36M","4.54%"
"04/02/2021","14,000.0","14,181.8","14,272.7","13,727.0","17.29M","-0.65%"
"03/02/2021","14,091.0","13,363.6","14,363.6","13,364.0","28.78M","5.44%"
"02/02/2021","13,364.0","12,090.9","13,454.5","12,000.0","34.80M","8.89%"
"01/02/2021","12,273.0","13,181.8","13,454.5","12,273.0","21.78M","-7.53%"
"29/01/2021","13,273.0","11,545.5","13,545.5","11,545.0","35.56M","3.55%"
"28/01/2021","12,818.0","14,000.0","14,090.9","12,818.0","27.32M","-9.62%"
"27/01/2021","14,182.0","14,909.1","15,000.0","14,000.0","25.51M","-4.88%"
"26/01/2021","14,909.0","15,181.8","15,272.7","13,818.0","49.50M","-1.80%"
"25/01/2021","15,182.0","15,818.2","15,818.2","15,182.0","26.49M","-4.02%"
"22/01/2021","15,818.0","16,181.8","16,272.7","15,636.0","24.94M","-2.25%"
"21/01/2021","16,182.0","16,090.9","16,454.5","15,727.0","24.27M","0.57%"
"20/01/2021","16,091.0","15,454.5","16,181.8","14,000.0","47.70M","4.73%"
"19/01/2021","15,364.0","16,909.1","17,000.0","15,273.0","58.43M","-9.14%"
"18/01/2021","16,909.0","17,727.3","17,727.3","16,818.0","41.26M","-3.13%"
