"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","27,400.0","27,400.0","27,800.0","27,200.0","4.55M","0.37%"
"28/04/2021","27,300.0","26,900.0","27,900.0","26,700.0","4.76M","12.35%"
"27/04/2021","24,300.0","26,900.0","27,300.0","24,300.0","4.02M","-10.00%"
"26/04/2021","27,000.0","28,300.0","29,000.0","27,000.0","5.70M","-4.59%"
"23/04/2021","28,300.0","28,500.0","29,000.0","26,200.0","8.52M","5.20%"
"22/04/2021","26,900.0","29,800.0","30,000.0","26,900.0","14.89M","-9.73%"
"20/04/2021","29,800.0","30,800.0","31,100.0","29,800.0","6.94M","-2.61%"
"19/04/2021","30,600.0","30,200.0","30,700.0","29,800.0","5.50M","2.00%"
"16/04/2021","30,000.0","30,700.0","30,900.0","29,100.0","14.47M","-2.28%"
"15/04/2021","30,700.0","31,800.0","32,200.0","30,600.0","10.83M","-3.46%"
"14/04/2021","31,800.0","31,200.0","31,800.0","30,800.0","7.50M","1.92%"
"13/04/2021","31,200.0","32,500.0","32,900.0","31,000.0","15.68M","-3.70%"
"12/04/2021","32,400.0","31,800.0","32,500.0","31,600.0","11.56M","2.53%"
"09/04/2021","31,600.0","31,600.0","32,000.0","31,400.0","7.32M","0.00%"
"08/04/2021","31,600.0","31,200.0","32,500.0","31,100.0","9.51M","1.28%"
"07/04/2021","31,200.0","30,900.0","31,500.0","30,700.0","7.98M","0.97%"
"06/04/2021","30,900.0","31,200.0","31,500.0","30,600.0","15.00M","-1.59%"
"05/04/2021","31,400.0","31,800.0","32,400.0","31,400.0","11.58M","0.00%"
"02/04/2021","31,400.0","31,400.0","33,000.0","31,200.0","11.83M","0.96%"
"01/04/2021","31,100.0","28,300.0","31,100.0","28,200.0","23.71M","9.89%"
"31/03/2021","28,300.0","28,600.0","28,900.0","28,000.0","8.66M","-0.70%"
"30/03/2021","28,500.0","28,200.0","29,000.0","28,200.0","9.90M","1.06%"
"29/03/2021","28,200.0","28,000.0","28,500.0","27,500.0","6.95M","0.71%"
"26/03/2021","28,000.0","27,300.0","28,500.0","25,600.0","9.93M","2.56%"
"25/03/2021","27,300.0","27,700.0","28,000.0","27,100.0","4.63M","-1.44%"
