"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","11,300.0","11,600.0","11,700.0","11,300.0","174.84K","-2.59%"
"28/04/2021","11,600.0","11,400.0","11,700.0","11,300.0","159.52K","1.75%"
"27/04/2021","11,400.0","11,900.0","12,000.0","11,400.0","221.90K","-4.20%"
"26/04/2021","11,900.0","12,600.0","12,600.0","11,800.0","232.50K","-4.03%"
"23/04/2021","12,400.0","12,200.0","12,500.0","11,700.0","341.20K","0.00%"
"22/04/2021","12,400.0","13,100.0","13,100.0","12,400.0","306.21K","-6.06%"
"20/04/2021","13,200.0","13,400.0","13,500.0","13,000.0","175.82K","-1.49%"
"19/04/2021","13,400.0","13,000.0","13,500.0","12,600.0","243.12K","3.08%"
"16/04/2021","13,000.0","13,200.0","13,300.0","12,500.0","443.92K","-1.52%"
"15/04/2021","13,200.0","13,500.0","13,700.0","13,200.0","299.30K","-2.22%"
"14/04/2021","13,500.0","13,800.0","13,800.0","13,100.0","386.66K","-2.17%"
"13/04/2021","13,800.0","14,000.0","14,000.0","13,500.0","648.73K","-1.43%"
"12/04/2021","14,000.0","14,500.0","14,500.0","14,000.0","445.70K","-3.45%"
"09/04/2021","14,500.0","14,600.0","14,800.0","14,200.0","401.91K","-0.68%"
"08/04/2021","14,600.0","14,600.0","14,700.0","14,200.0","278.10K","0.00%"
"07/04/2021","14,600.0","14,000.0","14,600.0","13,800.0","472.40K","4.29%"
"06/04/2021","14,000.0","13,900.0","14,200.0","13,700.0","466.26K","0.72%"
"05/04/2021","13,900.0","14,200.0","14,200.0","13,900.0","395.01K","-1.42%"
"02/04/2021","14,100.0","14,000.0","14,300.0","13,800.0","416.21K","0.71%"
"01/04/2021","14,000.0","14,000.0","14,200.0","13,700.0","338.50K","1.45%"
"31/03/2021","13,800.0","14,500.0","14,500.0","13,800.0","281.80K","-4.17%"
"30/03/2021","14,400.0","14,300.0","14,900.0","14,200.0","324.33K","1.41%"
"29/03/2021","14,200.0","13,500.0","14,200.0","13,500.0","247.81K","5.19%"
"26/03/2021","13,500.0","13,600.0","13,900.0","13,000.0","470.52K","-2.88%"
"25/03/2021","13,900.0","14,000.0","14,000.0","13,400.0","366.40K","-0.71%"
"24/03/2021","14,000.0","14,400.0","14,400.0","13,200.0","479.45K","-2.10%"
"23/03/2021","14,300.0","14,800.0","14,800.0","13,700.0","846.32K","-3.38%"
"22/03/2021","14,800.0","15,400.0","15,400.0","14,700.0","575.61K","-3.90%"
"19/03/2021","15,400.0","15,900.0","15,900.0","15,200.0","564.69K","-3.14%"
"18/03/2021","15,900.0","16,100.0","16,400.0","15,800.0","316.29K","-1.24%"
"17/03/2021","16,100.0","15,900.0","16,400.0","15,900.0","406.65K","1.90%"
"16/03/2021","15,800.0","15,200.0","15,800.0","15,200.0","909.70K","3.95%"
