"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/05/2021","83.06","82.99","83.23","82.81","55.92K","0.18%"
"25/05/2021","82.91","82.64","83.18","82.58","57.79K","0.34%"
"24/05/2021","82.63","81.63","82.79","81.59","48.48K","1.23%"
"21/05/2021","81.63","79.74","81.80","79.53","115.86K","2.36%"
"20/05/2021","79.75","79.82","80.00","79.43","60.38K","-0.08%"
"19/05/2021","79.81","80.07","80.28","79.62","37.91K","-0.31%"
"18/05/2021","80.06","80.42","80.51","79.92","57.66K","-0.45%"
"17/05/2021","80.42","81.01","81.14","80.12","45.11K","-0.72%"
"14/05/2021","81.00","81.17","81.55","80.84","84.22K","-0.21%"
"13/05/2021","81.17","81.46","81.67","81.04","51.25K","-0.37%"
"12/05/2021","81.47","81.08","81.48","80.87","47.85K","0.49%"
"11/05/2021","81.07","80.82","81.13","80.63","45.49K","0.28%"
"10/05/2021","80.84","80.85","80.87","80.34","51.82K","-0.01%"
"07/05/2021","80.85","81.18","81.33","80.07","97.05K","-0.41%"
"06/05/2021","81.18","80.64","81.41","80.54","52.17K","0.64%"
"05/05/2021","80.66","79.86","80.76","79.80","50.85K","1.00%"
"04/05/2021","79.86","80.68","80.70","79.26","38.95K","-1.02%"
"29/04/2021","80.68","80.12","80.83","80.04","40.38K","0.70%"
"28/04/2021","80.12","79.42","80.13","79.28","28.94K","0.89%"
"27/04/2021","79.41","79.42","79.96","79.24","38.10K","-0.01%"
"26/04/2021","79.42","80.40","80.85","79.26","48.62K","-1.22%"
"23/04/2021","80.40","79.75","80.48","78.88","109.45K","0.82%"
"22/04/2021","79.75","81.70","82.00","79.58","62.21K","-2.42%"
"20/04/2021","81.73","81.98","82.38","81.50","64.27K","-0.32%"
"19/04/2021","81.99","81.79","82.04","81.10","54.23K","0.24%"
"16/04/2021","81.79","82.70","82.91","81.05","127.18K","-1.10%"
"15/04/2021","82.70","83.40","83.61","82.47","70.39K","-0.84%"
"14/04/2021","83.40","83.14","83.40","82.38","71.65K","0.32%"
"13/04/2021","83.13","84.12","84.32","82.95","114.57K","-1.15%"
"12/04/2021","84.10","83.01","84.15","83.01","77.13K","1.31%"
"09/04/2021","83.01","83.07","83.31","82.64","107.62K","-0.07%"
"08/04/2021","83.07","82.83","83.26","82.31","89.56K","0.62%"
"07/04/2021","82.56","82.58","82.72","82.25","73.95K","-0.05%"
"06/04/2021","82.60","82.84","82.87","82.24","80.18K","-0.29%"
"05/04/2021","82.84","82.27","83.01","82.27","83.92K","0.69%"
"02/04/2021","82.27","81.71","82.51","81.69","112.23K","0.69%"
"01/04/2021","81.71","81.41","81.89","81.20","72.59K","0.37%"
"31/03/2021","81.41","80.62","81.43","80.59","87.47K","0.97%"
"30/03/2021","80.63","80.52","80.80","80.07","52.31K","0.14%"
"29/03/2021","80.52","79.86","80.54","79.76","55.26K","0.84%"
"26/03/2021","79.85","80.38","80.38","78.10","107.94K","-0.66%"
