"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","32,000.00","33,000.00","33,300.00","31,800.00","635.58K","-1.84%"
"28/04/2021","32,600.00","33,700.00","33,700.00","32,200.00","406.69K","-3.26%"
"27/04/2021","33,700.00","34,000.00","34,100.00","33,200.00","220.49K","-0.88%"
"26/04/2021","34,000.00","34,000.00","34,700.00","33,700.00","347.63K","-1.45%"
"23/04/2021","34,500.00","34,200.00","34,600.00","33,000.00","737.18K","2.68%"
"22/04/2021","33,600.00","35,800.00","35,900.00","33,100.00","676.39K","-6.15%"
"20/04/2021","35,800.00","36,400.00","36,600.00","35,600.00","453.79K","-1.10%"
"19/04/2021","36,200.00","37,000.00","37,500.00","36,000.00","479.74K","-2.69%"
"16/04/2021","37,200.00","38,000.00","38,000.00","36,000.00","744.05K","-1.59%"
"15/04/2021","37,800.00","38,600.00","38,700.00","37,700.00","359.20K","-1.82%"
"14/04/2021","38,500.00","38,100.00","38,600.00","37,600.00","579.78K","1.05%"
"13/04/2021","38,100.00","39,300.00","39,300.00","38,000.00","1.06M","-3.05%"
"12/04/2021","39,300.00","39,500.00","39,800.00","39,100.00","624.72K","-0.51%"
"09/04/2021","39,500.00","39,900.00","39,900.00","39,400.00","336.91K","-0.75%"
"08/04/2021","39,800.00","39,500.00","40,700.00","39,200.00","545.72K","1.02%"
"07/04/2021","39,400.00","39,700.00","40,000.00","39,000.00","511.86K","-1.01%"
"06/04/2021","39,800.00","40,200.00","40,300.00","39,500.00","490.00K","-1.24%"
"05/04/2021","40,300.00","40,800.00","40,800.00","39,900.00","630.27K","-0.49%"
"02/04/2021","40,500.00","40,300.00","41,200.00","40,200.00","469.54K","0.50%"
"01/04/2021","40,300.00","38,900.00","40,800.00","38,800.00","667.26K","3.60%"
"31/03/2021","38,900.00","39,100.00","39,200.00","38,500.00","579.86K","-0.26%"
"30/03/2021","39,000.00","39,300.00","39,500.00","38,900.00","375.50K","-0.76%"
"29/03/2021","39,300.00","39,000.00","39,700.00","38,600.00","448.04K","-0.51%"
"26/03/2021","39,500.00","39,800.00","39,800.00","37,100.00","1.10M","-0.25%"
"25/03/2021","39,600.00","40,100.00","40,800.00","39,300.00","782.05K","-3.18%"
"24/03/2021","40,900.00","42,700.00","42,700.00","39,000.00","1.71M","-4.22%"
"23/03/2021","42,700.00","43,400.00","43,500.00","42,300.00","668.05K","-1.61%"
"22/03/2021","43,400.00","43,800.00","43,900.00","43,400.00","686.37K","-0.23%"
"19/03/2021","43,500.00","43,200.00","44,000.00","43,000.00","1.05M","0.23%"
"18/03/2021","43,400.00","43,600.00","43,700.00","42,700.00","483.53K","-0.23%"
"17/03/2021","43,500.00","43,100.00","43,700.00","42,300.00","672.58K","0.93%"
"16/03/2021","43,100.00","44,000.00","44,200.00","42,500.00","1.25M","-2.05%"
"15/03/2021","44,000.00","43,800.00","44,900.00","43,800.00","786.40K","0.92%"
"12/03/2021","43,600.00","44,000.00","44,200.00","43,300.00","679.20K","-0.91%"
"11/03/2021","44,000.00","43,500.00","44,000.00","43,100.00","980.09K","1.62%"
"10/03/2021","43,300.00","42,700.00","44,100.00","42,600.00","1.03M","1.64%"
"09/03/2021","42,600.00","43,700.00","43,800.00","42,100.00","1.07M","-2.07%"
"08/03/2021","43,500.00","43,600.00","45,000.00","43,300.00","921.53K","0.00%"
"05/03/2021","43,500.00","43,500.00","43,900.00","42,500.00","1.27M","0.00%"
