"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2021","124,900.0","126,000.0","126,100.0","124,100.0","520.60K","-0.87%"
"28/04/2021","126,000.0","127,200.0","127,200.0","124,700.0","517.10K","-0.94%"
"27/04/2021","127,200.0","127,500.0","127,900.0","126,000.0","474.70K","-0.24%"
"26/04/2021","127,500.0","130,600.0","130,600.0","123,500.0","562.60K","-1.54%"
"23/04/2021","129,500.0","130,400.0","130,800.0","126,500.0","812.60K","-0.69%"
"22/04/2021","130,400.0","130,500.0","132,100.0","130,300.0","772.40K","-0.46%"
"20/04/2021","131,000.0","129,200.0","132,000.0","128,800.0","729.50K","1.39%"
"19/04/2021","129,200.0","129,000.0","129,600.0","128,000.0","592.60K","0.16%"
"16/04/2021","129,000.0","131,700.0","131,700.0","128,200.0","431.20K","-2.05%"
"15/04/2021","131,700.0","132,000.0","132,400.0","129,000.0","640.80K","-0.23%"
"14/04/2021","132,000.0","132,200.0","132,300.0","131,000.0","508.20K","0.08%"
"13/04/2021","131,900.0","132,400.0","132,400.0","131,100.0","499.50K","0.08%"
"12/04/2021","131,800.0","132,100.0","132,100.0","130,900.0","621.40K","0.00%"
"09/04/2021","131,800.0","133,500.0","133,500.0","131,400.0","417.90K","-0.90%"
"08/04/2021","133,000.0","133,500.0","134,000.0","132,600.0","418.40K","0.00%"
"07/04/2021","133,000.0","133,000.0","134,000.0","132,100.0","381.10K","0.00%"
"06/04/2021","133,000.0","132,500.0","133,800.0","132,200.0","427.20K","0.53%"
"05/04/2021","132,300.0","136,000.0","136,000.0","132,200.0","440.80K","0.00%"
"02/04/2021","132,300.0","133,800.0","134,300.0","132,300.0","530.90K","-0.15%"
"01/04/2021","132,500.0","130,000.0","132,900.0","129,700.0","536.30K","2.16%"
"31/03/2021","129,700.0","131,500.0","131,600.0","129,700.0","456.30K","-1.44%"
"30/03/2021","131,600.0","131,600.0","131,700.0","130,000.0","509.90K","0.00%"
"29/03/2021","131,600.0","130,700.0","131,600.0","130,500.0","640.10K","0.84%"
"26/03/2021","130,500.0","128,300.0","130,500.0","128,200.0","403.50K","1.87%"
"25/03/2021","128,100.0","128,000.0","130,900.0","127,800.0","508.10K","0.08%"
"24/03/2021","128,000.0","130,000.0","131,100.0","127,500.0","415.10K","-2.29%"
"23/03/2021","131,000.0","132,000.0","132,600.0","130,100.0","356.30K","-1.28%"
"22/03/2021","132,700.0","131,600.0","133,000.0","131,500.0","507.30K","1.69%"
"19/03/2021","130,500.0","134,400.0","134,600.0","130,500.0","934.30K","-3.26%"
"18/03/2021","134,900.0","133,500.0","134,900.0","133,000.0","499.90K","1.05%"
